perbatasan	حَدّ	border	raja	σύνορα	地境	國境	granica	fronteira	гра̀ница	meja	frontera	ชายแดน
jalur	None	strip	kaistale	λωρίδα	切れ	條	None	tira	None	None	franja	None
lili	زَنْبَق	lily	lilja	κρίνο	ユリ	百合	lilia	lírio	љиљан	None	azucena	ลิลลี่
sembahyang	صَلَاة	prayer	rukous	προσευχή	祈り	祈禱	modlitwa	oração	мо̀литва	molitev	oración	อธิษฐาน
jelaga	None	carbon	hiilimusta	None	None	None	None	negro	None	None	negro	None
pertahanan	دِفَاع	defense	puolustautuminen	άμυνα	None	防禦	obrona	defesa	о̏дбрана	obramba	defensa	การป้องกัน
geografis	جُغْرَافِيّ	geographic	maantieteellinen	γεωγραφικός	None	地理的	geograficzny	geográfico	географски	None	None	เกี่ยวกับภูมิศาสตร์
keseluruhan	مَجْمُوع	total	summa	άθροισμα	総額	總數	suma	soma	zbroj	None	combinación	None
menjumlahkan	None	total	laskea	αθροίζω	None	None	podsumowywać	None	None	None	None	None
seluruhnya	None	total	olla	None	None	None	równać	None	None	None	None	None
berjumlah	None	total	olla	ανέρχομαι	None	None	równać	None	None	None	None	None
sakral	مُقَدَّس	sacred	pyhä	ιερός	聖なる	神聖	święty	sagrado	све̑т	svet	None	None
sakral	None	sacred	pyhä	ιερός	None	None	None	None	None	None	None	None
gelanggang	None	arena	areena	None	None	None	None	None	None	None	None	None
pekerjaan	وَاجِب	homework	läksyt	None	宿題	作業	zadanie	tarefa	домаћи	None	deberes	การบ้าน
fatis	None	phatic	faattinen	None	None	None	fatyczny	fático	None	None	None	None
mencret	None	shits	ripuli	διάρροια	下痢	None	sraczka	caganeira	дијареја	None	cagarro	None
ilmu	عُلُوم	political	valtiotiede	πολιτική	None	政治學	politologia	ciência	политоло̀гија	politologija	politología	รัฐศาสตร์
kandang	حَظِيرَة	stable	navetta	στάβλος	馬小屋	馬厩	stajnia	estábulo	ста̏ја	hlev	establo	None
istal	إِسْطَبْل	stable	talli	σταύλος	None	馬厩	None	cavalariça	ста̏ја	None	establo	None
stabil	ثَابِت	stable	vakaa	σταθερός	安定した	穩重	stabilny	estável	None	None	estable	None
memeluk	عَانَقَ	hug	halata	αγκαλιάζω	抱擁する	擁抱	przytulać	abraçar	гр̏лити	objemati	abrazar	กอด
mami	أُمّ	mum	äiskä	μαμά	お母さん	媽媽	mamusia	mamãe	ма̏ма	None	mamá	คุณแม่
kosakata	None	vocabulary	sanasto	λεξιλόγιο	語彙集	詞彙表	słownictwo	vocabulário	None	None	vocabulario	คำศัพท์
Samudra	الْمُحِيط	Pacific	Tyyni	Ειρηνικός	None	太平洋	Ocean	oceano	Тихи	None	océano	มหาสมุทรแปซิฟิก
koridor	رِوَاق	corridor	käytävä	διάδρομος	廊下	走廊	korytarz	corredor	хо̏днӣк	hodnik	pasillo	ฉนวน
tersier	None	tertiary	tertiaarinen	τριτογενής	3次的な	第三的	None	None	None	None	terciario	None
telekonferensi	None	teleconference	etäkokous	τηλεσυνεδρίαση	None	None	None	None	None	None	None	None
lecek	None	crumple	rypistää	τσαλακώνω	しわくちゃにする	弄皺	miąć	amassar	zgužvati	None	arrugar	None
rentenir	None	loan	koronkiskuri	τοκογλύφος	高利貸し	高利貸	lichwiarz	agiota	None	None	usurero	None
mengarahkan	None	refer	ohjata	αναφέρω	None	None	None	None	None	None	None	None
instruksi	تَعْلِيم	instruction	opastus	οδηγία	教訓	指令	None	instrução	None	None	None	None
instruksi	None	instruction	käyttöohje	None	None	None	None	None	None	None	None	None
instruksi	None	instruction	käsky	εντολή	None	None	None	instrução	None	None	None	None
Persemakmuran	اَلْكُومُنْوِلْث	Commonwealth	Australian	Κοινοπολιτεία	オーストラリア連邦	澳大利亞聯邦	Związek	Comunidade	Комонвелт	Avstralska	Mancomunidad	เครือรัฐออสเตรเลีย
landas	مَدْرَج	runway	kiitotie	διάδρομος	滑走路	跑道	droga	pista	писта	pristajalna	pista	ลานบิน
nimbus	None	halo	sädekehä	φωτοστέφανο	輪っか	圓光	aureola	auréola	златокруг	None	None	None
orang	أَجْنَبِيّ	stranger	muukalainen	ξένος	外人	外國人	cudzoziemiec	estrangeiro	стра́нац	tujec	forastero	ฝรั่ง
karamel	كَرَامِيل	liquorice	englantilainen	καραμέλλα	リコリス菓子	甘草糖	lukrecja	doce	халва	karamela	arrezuz	คาราเมล
mekanika	ميكانيكا	quantum	kvanttimekaniikka	κβαντομηχανική	静電学	量子力學	mechanika	mecânica	квантна	jêdrska	mecánica	ไฟฟ้าสถิต
pengusiran	None	dismissal	None	None	None	None	None	dispensa	None	None	None	None
pemecatan	إِقَالَة	dismissal	None	απόλυση	None	解僱	zwolnienie	dispensa	отпуштање	odpustitev	None	None
bencana	كَارِثَة	catastrophe	katastrofi	καταστροφή	大災害	災難	katastrofa	catástrofe	катастро́фа	None	None	พิบัติ
katastrofe	نَكْبَة	catastrophe	katastrofi	καταστροφή	None	災難	None	catástrofe	None	None	None	None
katastrofe	None	catastrophe	katastrofi	έκβαση	None	None	None	None	None	None	catástrofe	None
misteri	سِرّ	mystery	salaisuus	μυστήριο	ミステリー	神祕	tajemnica	mistério	та̑јна	skrivnost	misterio	ความลี้ลับ
kliring	None	clearing	selvitys	None	None	None	None	None	None	None	compensación	None
falseto	None	falsetto	falsetti	None	裏声	假聲	falset	falsete	None	falzet	None	None
sirene	صَفّارَة	siren	sireeni	σειρήνα	サイレン	汽笛	syrena	sirena	сирена	None	None	None
penjahat	شِرِّير	villain	roisto	παλιάνθρωπος	悪人	惡棍	łotr	vilão	зло̏бнӣк	hudobnež	villano	ผู้ร้าย
disiplin	اِنْضِبَاط	discipline	kuri	πειθαρχία	規律	紀律	dyscyplina	disciplina	дисципли́на	None	None	วินัย
obesitas	سِمْنَة	obesity	liikalihavuus	παχυσαρκία	肥満	肥胖	otyłość	obesidade	прѐтило̄ст	debelost	obesidad	None
Waring	شَبَكَة	World	maailmanlaajuinen	Παγκόσμιος	ワールド	萬維網	ogólnoświatowa	net	None	None	None	เวิลด์ไวด์เว็บ
energi	طاقة	kinetic	liike-energia	κινητική	運動エネルギー	動能	energia	energia	kinetička	kinetična	energía	พลังงานจลน์
turis	سَائِح	tourist	turisti	τουρίστας	旅行者	旅游者	turysta	turista	ту̀рист	turȋst	None	นักท่องเที่ยว
lucu	مُضْحِك	funny	hassu	αστείος	面白い	可笑	zabawny	engraçado	None	None	cómico	ตลก
aneh	None	funny	kummallinen	None	変	None	None	estranho	None	None	extraño	None
pecundang	None	wimp	nössö	φοβητσιάρης	None	窝囊废	mięczak	covarde	None	None	pusilánime	None
laos	خَوْلَنْجَان	galangal	galanga	χαυλιτζάνι	None	高良薑	gałgan	None	galgan	None	None	ข่า
kali	فِي	times	kertaa	επί	掛ける	None	razy	vezes	None	None	por	คูณ
lukisan	لَوْحَة	painting	maalaus	ζωγραφιά	絵画	圖畫	obraz	pintura	сликање	None	cuadro	จิตรกรรม
kemalasan	كَسَل	sloth	laiskuus	νωθρότητα	怠惰	懶惰	lenistwo	preguiça	лењост	lenoba	pereza	ความเกียจคร้าน
kecap	None	Worcestershire	Worcestershire-kastike	σάλτσα	ウスターソース	辣醬油	sos	molho	None	None	salsa	วูสเตอร์ซอส
perwira	ضَابِط	officer	upseeri	None	士官	軍官	oficer	oficial	официр	častnik	None	นายทหาร
kerucut	مَخْرُوط	cone	kartio	κώνος	直円錐面	錐體	stożek	None	stožac	stožec	cono	กรวย
peti	تَابُوت	coffin	ruumisarkku	φέρετρο	棺桶	棺材	trumna	caixão	ковчег	krsta	ataúd	โลง
mengizinkan	أَذِنَ	permit	sallia	επιτρέπω	許可する	允許	pozwalać	permitir	дозволити	dopustiti	None	ให้
izin	None	permit	lupa	None	None	許可	przepustka	permissão	None	dovoljenje	permiso	ใบอนุญาต
sensus	تَعْدَاد	census	väestönlaskenta	απογραφή	人口調査	人口普查	spis	censo	cenzus	popis	None	สำมะโน
resensi	None	review	arvostelu	None	感想文	分析	recenzja	crítica	None	None	reseña	None
tinjauan	None	review	tarkastelu	None	None	None	rewizja	revisão	None	pregled	revisión	None
orbital	None	molecular	None	None	None	分子軌道	None	None	None	None	None	None
asam	تَمْر	tamarind	tamarindi	φοίνικας	タマリンド	羅望子	palma	tamarindeiro	индијска	None	palmera	มะขาม
takhayul	خُرَافَة	superstition	taikausko	δεισιδαιμονία	None	迷信	przesąd	superstição	празноверје	praznoverje	superstición	ไสยศาสตร์
folklor	فُولْكْلُور	folklore	kansanperinne	λαογραφία	伝承	民俗	tradycja	folclore	фо̀лкло̄р	None	folclor	นิทาน
katrij	None	cartridge	kasetti	None	インクカートリッジ	墨盒	kartridż	cartucho	kertridž	None	cartucho	กระสุน
dewan	سوفييت	soviet	neuvosto	σοβιέτ	ソビエト	蘇維埃	rada	soviete	са́вјет	sovjet	sóviet	โซเวียต
kepribadian	شَخْصِيَّة	personality	luonne	προσωπικότητα	人格	性格	osobowość	personalidade	ličnost	osébnost	personalidad	บุคลิกภาพ
kaki	أُفُق	horizon	horisontti	ορίζοντας	水平線	地平線	horyzont	horizonte	хоризонт	obzorje	None	ขอบฟ้า
ketumbar	كُزْبَرَة	coriander	korianteri	κόλιαντρος	コリアンダー	香菜	kolendra	coentro	korijandar	koriander	cilantro	ผักชี
ketumbar	None	coriander	korianteri	None	コリアンダー	芫荽籽	kolendra	None	None	None	None	None
jintan	كَمُّون	cumin	roomankumina	κύμινο	クミン	孜然	kmin	cominho	None	None	comino	เทียนขาว
perangkat	بَرْنَامِج	firmware	laiteohjelmisto	None	ファームウェア	固件	oprogramowanie	None	ugrađeni	strojna	soporte	เฟิร์มแวร์
penyembuh	None	healer	parantaja	None	None	None	uzdrowiciel	curandeiro	None	None	curandero	None
lapar	جُوع	hunger	nälkä	πείνα	飢え	飢餓	głód	fome	глад	lakota	hambre	ความหิว
lowong	خَالِيّ	vacant	vapaa	None	空の	空的	wolny	vago	None	None	vacante	None
sportivitas	رُوح	sportsmanship	urheiluhenki	αθλητικό	スポーツマンシップ	體育精神	None	espírito	None	None	deportividad	None
vila	فِيلَا	villa	huvila	βίλα	別荘	別墅	willa	casa	ви̏ла	None	quinta	None
kekiralan	None	chirality	kiraalisuus	None	カイラリティー	None	chiralność	quiralidade	None	None	quiralidad	None
ke-9	None	9th	9.	Θ΄	None	None	None	9º	None	None	None	None
orang	None	bad	pahis	None	悪者	壞人	None	None	None	None	None	None
almarhum	مَرْحُوم	deceased	kuollut	εκλιπών	仏様	死者	zmarły	falecido	мр̀твац	preminuli	difunto	None
ke-4	None	4th	4.	4ος	None	None	None	4.º	None	None	4º	None
engsel	مُفَصَّلَة	hinge	sarana	μεντεσές	蝶番	鉸鏈	zawias	dobradiça	šarka	None	bisagra	บานพับ
ke-6	None	6th	6.	6ος	None	None	None	6º	None	None	6.º	None
ke-5	None	5th	5.	5ος	None	None	None	5º	None	None	5.º	None
ke-10	None	10th	10.	10ος	None	None	None	10º	None	None	10.º	None
jintan	كَرَاوِيَا	caraway	kumina	αγριοκύμινο	None	葛縷子籽	kminek	alcaravia	ки̏м	None	carvis	None
ke-3	None	3rd	3.	3ος	None	None	None	3.º	None	None	3o	None
ke-7	None	7th	7.	7ος	None	None	None	7º	None	None	7.º	None
adas	شَمَر	fennel	fenkoli	μάραθο	None	茴香	fenkuł	funcho	коморач	komarček	hinojo	ผักชีล้อม
adat	عَادَة	custom	tapa	συνήθεια	None	習慣	zwyczaj	costume	обичај	None	habituación	แบบแผน
menurut	None	custom	mittatilaus-	None	特注	定製	na	sob	po	po	a	None
ke-2	None	2nd	2.	2ος	None	None	None	2.º	None	None	2o	None
ke-8	None	8th	8.	8ος	None	None	None	8º	None	None	None	None
kiral	None	chiral	kiraalinen	None	None	None	None	quiral	None	None	None	None
apa-apaan	None	what	mitä	στο	一体なんだ？	什麼鳥？	co	que	који	None	qué	อะไรวะ
menyusui	أَرْضَعَ	breastfeed	imettää	θηλάζω	授乳する	餵奶	karmić	amamentar	до̀јити	dojiti	dar	None
angkuh	غُرُور	vanity	turhamaisuus	ματαιοδοξία	虚栄心	虛榮心	próżność	vaidade	visokoumlje	None	vanidad	None
kejang	None	convulse	None	None	None	None	None	None	None	None	None	None
kembar	تَوْأَم	twin	kaksonen	δίδυμος	双子	雙胞胎	bliźniak	gémeo	близа́нац	dvójček	gemelo	แฝด
kontainer	حَاوِيَة	container	kontti	εμπορευματοκιβώτιο	コンテナ	集裝箱	kontener	contêiner	контејнер	vsebnik	contenedor	คอนเทนเนอร์
tahanan	سَجِين	prisoner	vanki	κρατούμενος	囚人	囚犯	więzień	prisioneiro	затворѐнӣк	zapornik	prisionero	นักโทษ
sendok	مِلْعَقَةُ	spatula	lasta	σπάτουλα	箆	鍋鏟	łopatka	espátula	None	None	None	ตะหลิว
partikel	None	alpha	alfahiukkanen	None	アルファ粒子	α粒子	cząstka	partícula	None	None	None	None
seragam	None	uniform	yhdenmukainen	ομοιόμορφος	統一された	None	jednorodny	uniforme	у̀нифо̄рман	None	None	None
kendi	زِير	jug	kannu	κανάτι	水差し	水罐	dzbanek	jarra	крчаг	None	None	กระติก
penonton	جُمْهُور	audience	yleisö	ακροατήριο	聴衆	觀眾	widownia	público	None	občinstvo	audiencia	ผู้ชม
reliabilitas	None	validity	validiteetti	None	None	None	None	fiabilidade	None	None	fiabilidad	None
alergi	أَرَجِيَّة	allergy	allergia	αλλεργία	アレルギー	過敏	uczulenie	None	алѐргија	alergija	None	ภูมิแพ้
bajingan	اِبْن	son	paskiainen	πουτάνας	畜生目	婊子養的	sukinsyn	filho	кучкин	prasec	hijo	None
nomor	عَدَد	mass	massaluku	μαζικός	None	質量數	None	None	None	None	None	None
waktu	None	half-life	puoliintumisaika	χρόνος	半減期	半衰期	czas	meia-vida	vreme	razpolovni	periodo	ครึ่งชีวิต
waktu	None	half-life	puoliintumisaika	None	半減期	None	None	None	None	None	None	None
waktu	None	half-life	puoliintumisaika	None	半減期	None	None	None	None	None	semivida	None
katalepsi	تَخَشُّب	catalepsy	katalepsia	καταληψία	カタレプシー	None	katalepsja	catalepsia	каталѐпсија	katalepsija	None	None
kebersihan	نَظَافَة	hygiene	hygienia	υγιεινή	None	衛生	higiena	higiene	хигије́на	None	None	สุขลักษณะ
versi	إِصْدَار	version	versio	έκδοση	バージョン	版本	wersja	versão	ина̀чица	različica	versión	None
katalis	حَفَّاز	catalyst	katalyytti	καταλύτης	None	觸媒	katalizator	catalisador	каталѝза̄тор	None	catalizador	None
katalisator	None	catalyst	katalysaattori	καταλύτης	None	None	katalizator	catalisador	None	None	catalizador	None
belas	رَحْمَة	compassion	myötätunto	συμπόνια	None	同情	współczucie	compaixão	саосећање	sočutje	compasión	เมตตา
biasanya	None	normally	normaalisti	κανονικά	None	平時	None	normalmente	None	None	de	None
kerahasiaan	None	concealment	None	None	None	None	None	None	None	None	None	None
instan	None	instant	pika-	None	即席の	速溶	None	instantâneo	None	None	instantáneo	สำเร็จรูป
distribusi	None	hypergeometric	hypergeometrinen	None	超幾何分布	卡方分佈	rozkład	distribuição	None	None	distribución	การแจกแจงปรกติ
rutin	None	routine	rutiini	ρουτίνα	日課	常規	None	rotina	None	None	rutina	None
rutin	None	routine	rutiini	None	None	None	None	rotina	None	None	rutina	None
rutin	None	routine	rutiini	διαδικασία	None	None	None	rotina	None	None	rutina	None
kantong	صَفَن	scrotum	kivespussi	όσχεο	陰嚢	陰囊	moszna	escroto	mòšnja	modnik	None	ถุงอัณฑะ
sangat	None	truly	todella	πράγματι	本当に	真的	naprawdę	realmente	None	None	None	None
rajin	مُجْتَهِد	diligent	tunnollinen	None	None	刻苦	pilny	diligente	ма̀рљив	marljiv	None	ขยัน
mutualisme	None	mutualism	mutualismi	None	None	互利共生	None	mutualismo	None	mutualizem	None	None
isian	None	blank	aukko	None	余白	None	puste	lacuna	None	None	espacio	None
peluru	None	blank	paukkupatruuna	None	空包	空包彈	ślepy	festim	None	None	cartucho	None
relasi	عَلَاقَة	relationship	suhde	σχέση	関係	關係	związek	relacionamento	None	None	relación	สัมพันธไมตรี
kerahasiaan	سِرِّيَّة	secrecy	None	μυστικότητα	秘密	None	None	sigilo	None	None	secreto	None
artefak	None	artifact	esine	τέχνημα	遺物	手工藝品	artefakt	artefato	None	None	None	None
penentangan	مُقَاوَمَة	resistance	vastarinta	αντίσταση	None	抵抗	opór	resistência	о̀тпор	odpor	resistencia	การต่อต้าน
berlawanan	None	resistance	vastus	αντίσταση	抵抗力	阻力	opór	resistência	None	None	resistencia	None
resistansi	None	resistance	resistanssi	αντίσταση	抵抗	電阻	opór	resistência	None	None	resistencia	None
kelompok	None	resistance	vastarintaliike	αντίσταση	None	抵抗運動	ruch	resistência	None	None	resistencia	None
swakarsa	None	voluntary	omaehtoinen	εκούσιος	志願して	None	dobrowolny	voluntário	None	prostovoljen	voluntario	None
bertakhayul	خِدَاع	delusion	harhaanjohtaminen	αυταπάτη	None	騙局	złudzenie	ilusão	None	None	engaño	None
delusi	ضَلَالَة	delusion	harhaluulo	πλάνη	None	幻想	omamienie	ilusão	deluzija	None	delirio	None
paranoid	غَرُور	delusion	harhakuvitelma	πλάνη	妄想	None	None	delírio	None	None	idea	None
isoglos	None	isogloss	isoglossi	ισόγλωσσο	等語線	同言線	izoglosa	isoglossa	изоглоса	None	isoglosa	None
Kematian	مَوْت	Black	musta	Μαύρη	黒死病	黑死病	czarna	peste	доба	črna	None	None
ruang	غُرْفَةْ	living	olohuone	σαλοτραπεζαρία	居間	客廳	salon	sala	дневна	None	salón	ห้องนั่งเล่น
aneh	None	bizarre	outo	None	奇妙	奇怪	dziwny	bizarro	bȉzāran	None	raro	None
kenaikan	تَرْقِيَة	promotion	ylennys	προαγωγή	昇進	提升	awans	promoção	None	povišanje	ascenso	การเลื่อนตำแหน่ง
promosi	تَرْوِيج	promotion	promootio	None	プロモーション	推廣	promocja	promoção	про̀мо̄ција	promocija	promoción	None
aransemen	None	arrangement	sovitus	None	アレンジ	None	aranżacja	arranjo	None	priredba	arreglo	None
detak	None	heartbeat	sydämenlyönti	καρδιοπαλμός	心拍	心跳	bicie	batida	otkucaj	None	latido	None
penata	مُزَيِّن	hairdresser	kampaaja	κομμωτής	美容師	美髮師	fryzjer	cabeleireiro	фрѝзе̄р	frizer	peluquero	ช่างแต่งผม
skuat	None	outfit	joukkue	ομάδα	None	None	drużyna	None	None	None	plantilla	None
navigasi	مِلَاحَة	navigation	None	ναυσιπλοΐα	None	None	nawigacja	navegação	None	None	navegación	None
navigasi	None	navigation	None	None	None	None	nawigacja	navegação	moreplovstvo	None	navegación	None
kental	لَزِج	viscous	sakea	ιξώδης	粘性の	黏的	lepki	viscoso	viskozno	viskózen	None	None
tanda	تَوْقِيع	autograph	nimikirjoitus	αυτόγραφο	サイン	簽名	autograf	autógrafo	аутограм	avtogram	firma	None
kalung	قِلَادَة	necklace	kaulakoru	κολιέ	ネックレス	項鏈	naszyjnik	colar	о̀грлица	verížica	collar	สร้อย
guk	هَو	woof	hau	γαβ	ワン	汪汪	None	ão-ão	None	None	guau	โฮ่ง
menyalak	None	woof	haukahtaa	γαβγίζω	ウーとうなる	None	None	latir	None	None	None	None
madat	أَفْيُونِيّ	opiate	opiaatti	οπιούχο	オピエート	鴉片製劑	None	opiáceo	опѝја̄т	opiat	opiato	โอปิแอต
morfina	مُورْفِين	morphine	morfiini	None	モルヒネ	嗎啡	None	None	None	None	None	มอร์ฟีน
buku	دَفْتَرُ	diary	päiväkirja	ημερολόγιο	日記帳	日記	dziennik	diário	дне̑внӣк	dnevnik	diario	อนุทิน
gerimis	رَذَّ	drizzle	tihuttaa	ψιχαλίζει	None	None	mżyć	chuviscar	сипити	None	lloviznar	None
gerimis	رَذَاذ	drizzle	tihkusade	None	霧雨	細雨	mżawka	chuvisco	кишица	None	llovizna	None
simbiosis	تَكَافُل	symbiosis	symbioosi	None	None	共生	symbioza	simbiose	None	None	None	None
sersan	رَقِيب	sergeant	kersantti	λοχίας	軍曹	軍士	sierżant	sargento	на́реднӣк	vódnik	None	จ่า
erotis	شَبَقِيّ	erotic	eroottinen	ερωτικός	エロチックな	色情的	erotyczny	erótico	еро̀тичан	erótičen	None	None
doksologi	None	doxology	doksologia	δοξολογία	頌栄	三一頌	None	doxologia	доксологија	None	doxología	None
efektif	None	effective	vaikuttava	αποτελεσματικός	None	None	None	eficaz	None	None	None	None
efektif	None	effective	voimassa	None	None	None	efektywny	efetivo	None	None	None	None
setia	وَفِيّ	faithful	uskollinen	πιστός	忠実な	忠實	wierny	fiel	веран	zvest	None	ซื่อสัตย์
nirselera	قَهَم	anorexia	anoreksia	ανορεξία	食欲不振	厭食症	anoreksja	None	None	None	None	None
aerodinamika	أَيْرُودِينَامِيَّة	aerodynamics	aerodynamiikka	αεροδυναμική	空気力学	空氣動力學	aerodynamika	aerodinâmica	аеродина̀мика	áerodinámika	aerodinámica	None
karier	مِهْنَة	career	työ	καριέρα	経歴	職業	kariera	carreira	каријера	None	carrera	อาชีพ
entalpi	None	enthalpy	entalpia	ενθαλπία	エンタルピー	焓	zawartość	None	None	None	entalpía	None
labil	None	unstable	epävakaa	None	None	None	niestabilny	instável	None	None	inestable	None
eksponen	أس	exponent	eksponentti	None	指数	None	wykładnik	expoente	None	None	exponente	None
dokter	طَبِيب	pediatrician	lastenlääkäri	παιδίατρος	小児科医	兒科醫師	pediatra	None	None	None	None	กุมารแพทย์
stetoskop	سَمَّاعَةُ	stethoscope	stetoskooppi	στηθοσκόπιο	聴診器	聽診器	słuchawka	estetoscópio	сте̏тоскоп	stetoskóp	estetoscopio	เครื่องฟังตรวจ
hidrologi	عِلْم	hydrology	hydrologia	υδρολογία	None	水文學	None	hidrologia	None	hidrologija	hidrología	อุทกวิทยา
akromegali	None	acromegaly	akromegalia	μεγαλακρία	先端巨大症	肢端肥大症	None	acromegalia	акромега̀лија	akromegalija	None	อะโครเมกาลี
panco	جُمْبَاز	gymnastics	voimistelu	γυμναστική	ドッジボール	體操	gimnastyka	ginástica	гимнастика	None	gimnasia	None
afrodisiak	None	aphrodisiac	lemmenruoka	αφροδισιακό	媚薬	春藥	afrodyzjak	afrodisíaco	None	None	None	None
bayangkan	تَخَيَّلَ	imagine	kuvitella	φαντάζομαι	想像する	想像	wyobrażać	imaginar	zamišljati	predstavljati	None	จินตนาการ
kimus	كيموس	chyme	None	None	糜粥	食糜	None	quimo	None	None	None	None
terapi	عِلَاج	therapy	hoito	θεραπεία	治療	療法	leczenie	None	терапија	zdravljenje	None	None
kardiologi	طِبّ	cardiology	kardiologia	καρδιολογία	循環器学	心臟內科	None	cardiologia	kardiologija	None	cardiología	None
pameran	مَعْرِض	exhibition	näyttely	έκθεση	展覧会	展覽會	wystawa	exibição	ѝзложба	razstava	exposición	นิทรรศการ
kaleidoskop	مِشْكَال	kaleidoscope	kaleidoskooppi	καλειδοσκόπιο	万華鏡	萬花筒	kalejdoskop	caleidoscópio	None	None	caleidoscopio	กล้องสลับลาย
pecundang	None	loser	epäonnistuja	None	負け犬	失敗者	nieudacznik	perdedor	None	None	fracasado	None
bedebah	فَاشِل	loser	luuseri	None	None	None	None	perdedor	None	None	None	None
lapangan	مَهْبِط	aerodrome	lentopaikka	αεροδρόμιο	飛行場	飛機場	lotnisko	aeródromo	аеро̀дром	letališče	None	None
tirani	طُغْيَان	tyranny	tyrannia	τυραννία	暴戻	僭主政治	tyrania	tirania	тира̀нија	tiranija	tiranía	ทรราชย์
tirani	None	tyranny	None	τυραννία	None	極權	tyrania	tirania	тира̀нија	None	tiranía	None
tegak	None	upright	pysty	None	None	None	None	ereto	None	None	vertical	None
pemilih	مُصَوِّت	voter	äänestäjä	ψηφοφόρος	選挙人	投票者	wyborca	votante	гла̀са̄ч	volivec	None	ผู้เลือกตั้ง
érgonomis	None	ergonomic	ergonominen	None	None	None	None	ergonômico	None	None	None	None
albakora	None	albacore	None	None	鬢長	None	None	albacora	None	None	None	None
Kekaisaran	اَلْإِمْبِرَاطُورِيَّة	Roman	Rooman	Βασιλεία	ローマ帝国	羅馬帝國	Cesarstwo	Império	Римско	Rimski	Imperio	จักรวรรดิโรมัน
kemunafikan	رِيَاء	hypocrisy	tekopyhyys	υποκρισία	None	虛偽	hipokryzja	hipocrisia	licemerje	None	hipocresía	None
asma	رَبُو	asthma	astma	άσθμα	喘息	哮喘	dychawica	None	None	None	None	หืด
pikap	نصف	pickup	lava-auto	ημιφορτηγό	ピックアップトラック	皮卡	półciężarówka	caminhonete	None	None	pickup	รถกระบะ
map	مِلَفّ	folder	kansio	φάκελος	フォルダ	卷宗	teczka	pasta	фасцѝкл	mapa	carpeta	None
map	مُجَلَّد	folder	kansio	φάκελος	フォルダ	目錄	katalog	pasta	fascikla	mapa	carpeta	โฟลเดอร์
daratan	بَرْزَخ	isthmus	kannas	ισθμός	峡部	地峽	przesmyk	istmo	земљоуз	ožina	None	คอคอด
voucer	قَسِيمَة	voucher	kuponki	None	バウチャー	代金券	talon	vale	None	bon	cupón	None
dzira'	ذِرَاع	cubit	kyynärä	πήχης	None	None	None	côvado	None	None	codo	None
aritmetika	حساب	arithmetic	aritmetiikka	αριθμητική	算数	算術	arytmetyka	aritmética	None	None	None	เลขคณิต
aritmetika	None	arithmetic	aritmeettinen	αριθμητικός	None	算術的	arytmetyczny	aritmético	None	None	None	None
jurnal	None	journal	päiväkirja	ημερολόγιο	日記	日誌	dziennik	diário	None	dnevnik	bitácora	อนุทิน
syal	شَال	shawl	šaali	σάλι	ショール	圍巾	szal	xale	podbradača	šál	chal	None
megalit	جندل	megalith	megaliitti	None	None	巨石	None	megálito	None	None	megalito	None
kursi	كُرْسِيّ	armchair	nojatuoli	πολυθρόνα	アームチェア	扶手椅	fotel	poltrona	насло̀ња̄ч	fotelj	sillón	เก้าอี้นั่ง
sarung	صَارُون	sarong	None	None	サロン	紗籠	None	sarongue	None	None	pareo	โสร่ง
kiriman	None	post	viesti	ανάρτηση	書き込み	帖子	wypowiedź	publicação	None	None	None	None
pos	None	post	piste	θέση	None	None	None	posto	None	None	None	None
kadang	أَحْيَانًا	sometimes	joskus	ενίοτε	時時	有時	czasem	às	по̀некад	včásih	a	บางที
pedagogi	None	pedagogy	pedagogiikka	None	None	教育學	pedagogika	pedagogia	pedagògija	None	pedagogía	ครุศาสตร์
kaliks	None	calyx	munuaispikari	None	杯	None	None	cálice	None	None	None	None
haus	عَطْشَان	thirsty	janoinen	διψασμένος	喉が渇いた	渴	spragniony	sequioso	же́дан	žejen	sediento	กระหาย
lawak	كُومِيدِيَا	comedy	komedia	κωμωδία	コメディ	喜劇	None	comédia	kòmēdija	None	comedia	None
komedi	كُومِيدِيَا	comedy	komiikka	None	None	None	None	comédia	kòmēdija	None	comedia	None
surealisme	None	surrealism	surrealismi	υπερρεαλισμός	シュルレアリスム	超現實主義	surrealizm	surrealismo	nadrealizam	None	None	ลัทธิเหนือจริง
stéréotipê	صُورَة	stereotype	stereotyyppi	στερεότυπο	ステレオタイプ	刻板印象	None	estereótipo	stereotip	None	estereotipo	None
entomologi	عِلْم	entomology	hyönteistiede	None	None	昆蟲學	entomologia	None	ентомологија	žužkoslóvje	entomología	กีฏวิทยา
vaksin	لَقَاح	vaccine	rokote	εμβόλιο	ワクチン	疫苗	wakcyna	vacina	вакци́на	cepivo	vacuna	วัคซีน
keadaan	حَال	status	tila	κατάσταση	状態	狀態	stan	estado	ста́тус	stanje	None	สถานะ
paleontologi	None	paleontology	paleontologia	παλαιοντολογία	None	古生物學	None	None	None	None	paleontología	บรรพชีวินวิทยา
oftalmologi	طِبّ	ophthalmology	silmätautioppi	None	目薬	眼科	okulistyka	colírio	офталмологија	oftalmologíja	oftalmología	จักษุวิทยา
