Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
الْقَيْصَرَيَّة	German	Saksan	Γερμανική	Kekaisaran	ドイツ帝国	德意志帝國	n	Cesarstwo	Império	Немачко	Nemško	Imperio	จักรวรรดิเยอรมัน	None	name
الشَّرْق	Middle	Lähi-itä	Μέση	Timur	None	中東	n	Bliski	Oriente	Блиски	Bližnji	Oriente	ตะวันออกกลาง	None	name
None	umami	ruokaisuus	ουμάμι	gurih	旨味	鮮味	n	None	None	None	None	None	อูมามิ	None	noun
لَذِيذ	yummy	nami	None	enak	美味しい	好吃	a	pyszny	delicioso	њами	None	rico	อร่อย	None	adj
عِيد	holiday	juhlapäivä	γιορτή	liburan	祭日	節日	n	święto	feriado	пра̑знӣк	praznik	festividad	วันหยุด	None	noun
عُطْل	holiday	yleinen	αργία	liburan	休日	假日	n	święto	feriado	пра̑знӣк	praznik	día	วันหยุด	None	noun
ذَوْق	taste	maku	γεύση	rasa	味覚	味道	n	smak	gosto	у̀кус	okȗs	gusto	รสชาติ	None	noun
كُلّ	everything	kaikki	όλα	segala	全て	一切	p	wszystko	tudo	све	vse	todo	ทุกสิ่ง	None	pron
None	ward	potilassali	None	bangsal	病室	None	n	oddział	enfermaria	bolesnička	None	sala	None	None	noun
None	cognate	sukulaissana	None	kata	同根語	同源詞	n	pokrewny	cognato	None	None	cognado	None	None	noun
None	acquisition	hankinta	None	akuisisi	None	獲得	n	nabywanie	aquisição	стјецање	None	adquisición	None	None	noun
None	acquisition	hankinta	None	akuisisi	None	獲得	n	nabytek	aquisição	на̀ба̄вка	None	None	None	None	noun
بَلُّوط	oak	tammi	δρυς	ek	楢	橡樹	n	dąb	carvalho	храст	None	roble	โอ๊ก	None	noun
None	agglutination	agglutinaatio	None	aglutinasi	None	None	n	aglutynacja	aglutinação	aglutinacija	None	aglutinación	None	None	noun
مَعْرَكَة	battle	taistelu	μάχη	pertempuran	戦い	戰役	n	walka	batalha	би̏тка	boj	batalla	สงคราม	None	noun
شَيْطَان	devil	paholainen	διάβολος	iblis	悪魔	惡魔	n	diabeł	diabo	вра̑г	vrag	diablo	ซาตาน	None	noun
كَيْلُون	padlock	riippulukko	λουκέτο	gembok	パドロック	掛鎖	n	kłódka	cadeado	ка̀танац	žabica	candado	แม่กุญแจ	None	noun
شَجَاعَة	bravery	rohkeus	ανδρεία	keberanian	勇気	勇敢	n	odwaga	bravura	храброст	pogum	valor	None	None	noun
None	agglomeration	agglomeraatio	None	aglomerasi	None	結塊	n	aglomeracja	aglomeração	aglomeracija	None	aglomeración	None	None	noun
None	agglomeration	agglomeraatio	None	aglomerasi	None	None	n	aglomeracja	aglomeração	aglomeracija	None	aglomeración	None	None	noun
None	agglomeration	agglomeraatio	None	aglomerasi	None	None	n	aglomeracja	None	None	None	aglomeración	None	None	noun
None	activation	aktivointi	None	pengaktifan	None	激活	n	aktywacja	ativação	aktivácija	None	activación	None	None	noun
مِفْتَاح	clef	avain	κλειδί	kunci	音部記号	None	n	klucz	clave	None	None	None	None	None	noun
بَجَع	pelican	pelikaani	πελεκάνος	burung	ペリカン	鵜鶘	n	None	pelicano	пелѝка̄н	None	pelícano	กระทุง	None	noun
None	liminal	None	μεθοριακός	ambang	None	None	a	None	limiar	None	None	liminar	None	None	adj
None	liminal	None	None	tingkat	None	None	a	None	None	None	None	None	None	None	adj
None	great-grandfather	isoisoisä	προπάππος	kakek	None	曾祖父	n	pradziadek	bisavô	прадеда	praded	bisabuelo	None	None	noun
None	affiliation	yhteys	δεσμός	afiliasi	None	None	n	powiązanie	afiliação	pripadnost	None	afiliación	None	None	noun
None	baritone	baritoni	None	bariton	バリトン	男中音	n	baryton	barítono	None	None	None	None	None	noun
None	baritone	baritoni	None	bariton	テノール	男高音	n	baryton	barítono	None	None	None	None	None	noun
عَصْر	epoch	aikakausi	εποχή	kala	None	時代	n	epoka	época	епо́ха	epoha	None	ยุค	None	noun
مِيدَالِيَة	medal	mitali	μετάλλιο	medali	賞牌	獎章	n	None	medalha	медаља	None	medalla	เหรียญ	None	noun
نَزِيه	honest	rehellinen	τίμιος	jujur	誠実	誠實	a	uczciwy	honesto	поштен	None	None	ซื่อสัตย์	None	adj
None	auntie	tätönen	θείτσα	tante	おばさん	阿姨	n	ciocia	titia	None	tetka	None	None	None	noun
مُتَعَهِّد	entrepreneur	yrittäjä	επιχειρηματίας	wirausaha	起業家	企業家	n	przedsiębiorca	empreendedor	предузетник	podjetnik	emprendedor	ผู้ประกอบการ	None	noun
حَكِيم	wise	viisas	σοφός	bijaksana	賢い	明智	a	mądry	sábio	му́дар	moder	sabio	เฉลียวฉลาด	None	adj
أَعْضَاء	genitalia	sukuelimet	γεννητικά	alat	性器	生殖器	n	narządy	genitália	генѝта̄лије	genitalije	genitales	อวัยวะเพศ	None	noun
بَرْنَامَج	program	ohjelma	πρόγραμμα	programa	演目	None	n	repertuar	None	None	None	None	None	None	noun
بَرْنَامَج	program	ohjelma	πρόγραμμα	acara	番組	節目	n	audycja	None	про̀грам	oddaja	None	รายการ	None	noun
بَرْنَامَج	program	ohjelma	πρόγραμμα	tata	プログラム	應用程式	n	oprogramowanie	programa	про̀грам	oglaševalsko	programa	โปรแกรม	None	noun
زَهْرِيَّة	vase	maljakko	ανθοδοχείο	vas	None	花瓶	n	wazon	vaso	ва́за	vaza	jarrón	แจกัน	None	noun
None	layman	maallikko	ερασιτέχνης	awam	None	None	n	laik	profano	ла̀ик	None	lego	None	None	noun
حَامِض	sour	hapan	ξινός	asam	すっぱい	酸	a	kwaśny	azedo	ки̏сео	kisel	agrio	เปรี้ยว	None	adj
None	sour	hapantunut	ξινισμένος	diasami	None	None	a	zjełczały	coalhado	None	None	agrio	None	None	adj
لَذِيذ	delicious	herkullinen	εύγευστος	lezat	美味しい	好吃	a	smaczny	delicioso	у̀кусан	okusen	sabroso	อร่อย	None	adj
None	soprano	sopraano	None	sopran	ソプラノ	女高音	n	None	None	None	None	None	None	None	noun
None	possessive	None	None	posesif	None	None	a	zaborczy	possessivo	None	None	posesivo	None	None	adj
اِنْقِلَاب	coup	vallankaappaus	πραξικόπημα	kudeta	クーデター	政變	n	zamach	golpe	пре̏вра̄т	držávni	None	รัฐประหาร	None	noun
اِنْتِصَاب	boner	seisokki	σηκωμάρα	ngaceng	None	勃起	n	kościej	pau	None	None	erección	None	None	noun
None	chamber	kauppakamari	None	kamar	商工会議所	商會	n	izba	câmara	None	None	cámara	หอการค้า	None	noun
جَاكِيت	jacket	takki	σακάκι	jaket	ジャケット	夾克	n	kurtka	jaqueta	ја̀кна	jakna	chaqueta	เสื้อแจ็กเก็ต	None	noun
None	jacket	takki	σακάκι	jas	ジャケット	夾克	n	marynarka	paletó	са̀ко̄	suknjič	chaqueta	None	None	noun
نَصِير	hero	päähenkilö	ήρωας	Pinokio	主人公	主角	n	bohater	herói	ју̀на̄к	Ostržek	héroe	ปิน็อกกีโอ	None	name
بَطَل	hero	sankari	ήρωας	pahlawan	勇者	英雄	n	bohater	herói	ју̀на̄к	junak	héroe	วีรบุรุษ	None	noun
None	nunchaku	None	None	ruyung	双節棍	雙節棍	n	nunczako	None	None	None	chaco	None	None	noun
اِنْتَظَرَ	wait	odottaa	περιμένω	menunggu	待つ	等	v	czekać	esperar	чекати	čakati	None	รอ	None	verb
تْسُونَامِي	tsunami	hyökyaalto	τσουνάμι	gloro	津波	海嘯	n	None	maremoto	veleval	None	None	สึนามิ	None	noun
مُؤَذِّن	muezzin	muessin	μουεζίνης	muazin	ムアッジン	宣禮員	n	muezin	almuadem	мујезин	None	almuédano	None	None	noun
None	cast	valurauta	None	besi	鋳鉄	鑄鐵	n	żeliwo	ferro	lijevano	None	hierro	None	None	noun
قَامَ	get	nousta	σηκώνομαι	bangun	起きる	起床	v	wstawać	levantar	устајати	vstajati	levantarse	ลุก	None	verb
جَذَّاب	sexy	seksikäs	σέξι	seksi	セクシー	性感	a	None	sensual	None	None	None	เซ็กซี่	None	adj
سَطْح	surface	pinta	επιφάνεια	permukaan	None	表面	n	powierzchnia	superfície	по̏вршина	površina	superficie	พื้นผิว	None	noun
شَرْط	term	ehto	None	syarat	None	條件	n	warunek	termo	None	None	términos	None	None	noun
اِصْطِلَاح	term	termi	όρος	istilah	述語	術語	n	określenie	termo	None	None	término	คำ	None	noun
None	reboot	uudelleenkäynnistää	επανεκκινώ	menghidupkan	再起動する	重新啟動	v	uruchomić	reiniciar	ponovno	ponovno	None	None	None	verb
قَلْب	palindrome	palindromi	καρκινική	palindrom	None	回文	n	None	palíndromo	палѝндро̄м	None	capicúa	พาลินโดรม	None	noun
مَجْلِس	senate	senaatti	γερουσία	senat	上院	參議院	n	None	senado	сѐна̄т	None	None	วุฒิสภา	None	noun
None	great-grandmother	isoisoäiti	προγιαγιά	nenek	曾お祖母さん	曾祖母	n	prababcia	bisavó	пра̀баба	prababica	bisabuela	None	None	noun
حَجَر	philosopher's	viisasten	φιλοσοφική	batu	賢者の石	魔法石	n	kamień	pedra	камен	kamen	piedra	ศิลาอาถรรพ์	None	noun
None	smart	älykäs	None	cerdas	None	None	a	inteligentny	None	pametan	pametni	None	None	None	adj
None	smart	tyylikäs	None	elegan	美しい	None	a	elegancki	elegante	None	None	None	None	None	adj
اِسْتَمْنَى	masturbate	tyydyttää	αυνανίζομαι	merancap	オナニーする	手淫	v	masturbować	masturbar-se	мастурби́рати	masturbirati	masturbarse	ช่วยตัวเอง	None	verb
كَثِير	much	paljon	None	banyak	沢山	多	d	dużo	muito	пуно	veliko	mucho	มาก	None	det
شُجَاع	brave	rohkea	γενναίος	berani	勇敢な	勇敢	a	odważny	bravo	храбар	pogumen	valiente	กล้าหาญ	None	adj
None	brave	uhmata	None	menerjang	None	None	v	None	None	None	None	None	None	None	verb
مَلَابِس	clothing	vaatetus	ρούχο	pakaian	服	衣服	n	odzież	roupa	одећа	obleka	ropa	เสื้อผ้า	None	noun
سَعِيرَا	blaze	roihu	None	kobaran	炎	火焰	n	None	labareda	None	None	llama	None	None	noun
نُعُوظ	erection	erektio	στύση	ereksi	エレクション	勃起	n	wzwód	ereção	erèkcija	erékcija	erección	การแข็งตัวขององคชาต	None	noun
مُسْتَلِم	addressee	vastaanottaja	παραλήπτης	komunikan	受取人	收件人	n	adresat	destinatário	на́сло̄внӣк	naslovljenec	destinatario	None	None	noun
انزيم	enzyme	entsyymi	ένζυμο	enzim	None	酶	n	enzym	enzima	ензим	None	None	เอนไซม์	None	noun
تَآمَرَ	conspire	juonitella	συνωμοτώ	berkomplot	企む	勾结	v	spiskować	conspirar	None	None	None	None	None	verb
شَحّاطَة	match	tulitikku	σπίρτο	korek	マッチ	火柴	n	zapałka	palito	ши̏бица	vžigalica	cerilla	ไม้ขีดไฟ	None	noun
سَيِّدَة	madam	rouva	κυρία	nyonya	奥様	太太	n	pani	madame	го̏спођа	gospa	señora	แหม่ม	None	noun
None	expire	None	None	kedaluwarsa	失効する	失效	v	wygasnąć	vencer	None	None	caducar	None	None	verb
فَرِيد	unique	ainutlaatuinen	μοναδικός	unik	唯一無二	獨一無二	a	unikalny	único	једѝнствен	edinstven	señero	None	None	adj
None	fecundity	None	None	fekunditas	None	None	n	None	fecundidade	None	None	None	None	None	noun
None	fecundity	None	None	fekunditas	None	None	n	None	fecundidade	None	None	None	None	None	noun
زِبْدِيَّة	bowl	kulho	μπολ	mangkok	茶碗	碗	n	misa	tigela	чѝнија	skleda	tazón	ชาม	None	noun
جُنْدِيّ	soldier	sotilas	στρατιώτης	prajurit	兵士	士兵	n	żołnierz	soldado	во̀јнӣк	vojak	None	ทหาร	None	noun
غْرَانْدُوق	grand	suurherttua	None	adipati	None	太公	n	wielki	grão-duque	None	None	gran	แกรนด์ดุ๊ก	None	noun
حُرِّيَّة	freedom	vapaus	ελευθερία	kebebasan	None	自由	n	wolność	liberdade	слобо̀да	svoboda	libertad	อิสรภาพ	None	noun
حُرِّيَّة	freedom	vapaus	ελευθερία	kebebasan	None	自由	n	wolność	liberdade	слобо̀да	svoboda	libertad	None	None	noun
اِسْتَحَمَّ	bathe	kylpeä	None	mandi	浴びる	沐浴	v	kąpać	banhar	купати	kopati	bañarse	อาบ	None	verb
None	bathe	kylvettää	None	memandikan	浴びせる	None	v	kąpać	banhar	None	None	bañar	อาบน้ำ	None	verb
None	bathe	peittää	None	bermandikan	None	None	v	None	None	None	None	None	None	None	verb
None	bathe	kastaa	None	membasuh	None	None	v	None	None	None	None	lavar	None	None	verb
قانِصَة	gizzard	kivipiira	None	ampela	砂嚢	肫	n	mielec	moela	жѐлудац	None	molleja	กึ๋น	None	noun
تَمِيمَة	amulet	amuletti	φυλαχτό	jimat	お守り	護身符	n	None	amuleto	амулет	None	talismán	เครื่องราง	None	noun
None	pariah	paaria	None	paria	None	None	n	parias	pária	None	None	None	None	None	noun
نَهَارَك	good	hyvää	καλημέρα	selamat	こんにちは	日安	p	dzień	bom	до̏бар	dóber	buenos	สวัสดี	None	phrase
مِيكْرُوب	microorganism	mikro-organismi	μικροοργανισμός	mikroorganisme	None	微生物	n	mikroorganizm	micro-organismo	mikroorganìzam	None	microorganismo	จุลชีพ	None	noun
None	super	None	υπέρ	amat	超	優秀	a	None	súper	None	None	None	None	None	adj
بِينْغ	table	pöytätennis	επιτραπέζια	tenis	卓球	乒乓球	n	tenis	tênis	стони	namizni	tenis	ปิงปอง	None	noun
مَجْلِس	chamber	kamari	επιμελητήριο	kongres	会議	律師	n	izba	câmara	skupština	None	cámara	รัฐสภา	None	name
تَبَرَّع	donation	lahja	δωρεά	sumbangan	寄付	捐贈	n	dar	doação	по̀клон	donacija	donación	None	None	noun
None	go	palo	εκπυρσοκροτώ	kebakaran	山林火災	林火	n	None	queima	None	None	disparar	ไฟป่า	None	noun
حَصَاة	pebble	pikkukivi	None	kerikil	小石	礫石	n	kamyk	seixo	petr-	None	guijarro	กรวด	None	noun
عُرْس	wedding	häät	γάμος	pernikahan	結婚式	婚禮	n	ślub	casamento	сва̀дба	poroka	nupcias	งานแต่งงาน	None	noun
كُلّ	each	jokainen	έκαστος	setiap	それぞれの	每	d	każdy	cada	сваки	vsak	cada	ทุก	None	det
عَتِيق	antique	antiikkinen	None	antik	古い	古代	a	antyczny	antigo	а̀нтичкӣ	None	antiguo	None	None	adj
مَصَّاص	catoblepas	katoblepas	ιππόκαμπος	vampir	カトブレパス	吸血鬼	n	wampir	catóblepa	вампир	vampír	catóblepon	คาโตเบลพาส	None	noun
نِسْبِيّ	relative	suhteellinen	σχετικός	relatif	相対的	有關的	a	relatywny	relativo	None	None	None	None	None	adj
قَرِيب	relative	sukulainen	συγγενής	kerabat	身内	親戚	n	krewny	parente	ро̑д	sorodnik	familiar	ญาติ	None	noun
مُومِيَاء	mummy	muumio	μούμια	mumi	ミイラ	木乃伊	n	mumia	múmia	му̑мија	mumija	momia	มัมมี่	None	noun
قَصَبَة	reed	kaisla	καλάμι	alang	葦	蘆葦	n	trzcina	junco	trska	trsje	carrizo	กก	None	noun
أَنْقَاض	rubble	rauniot	None	puing	None	瓦礫	n	rumowisko	entulho	None	None	None	None	None	noun
راهب	hermit	erakko	ερημίτης	resi	仙人	隐士	n	anachoreta	ermitão	None	None	ermitaño	นักบวช	None	noun
ذَخِيرَة	fund	rahasto	απόθεμα	dana	None	資金	n	fundusz	fundo	фо̏нд	sklad	fondo	กองทุน	None	noun
عُزْلَة	solitude	yksinäisyys	μοναξιά	kesepian	None	孤寂	n	samotność	solidão	osama	samota	soledad	ความโดดเดี่ยว	None	noun
حَوْصَلة	crop	kupu	πρόλοβος	tembolok	None	嗉囊	n	wole	papo	volja	None	buche	กระเพาะพัก	None	noun
قَرِيبًا	soon	pian	σύντομα	segera	すぐに	不久	a	wkrótce	logo	у̏скоро	kmálu	pronto	ในไม่ช้า	None	adv
مَوْج	wave	aalto	κύμα	alun	周波	波浪	n	fala	onda	та̏ла̄с	val	ola	คลื่น	None	noun
بَعْضُهُ	each	toisensa	αλλήλων	saling	お互いに	互相	p	nawzajem	um	None	None	el	กันและกัน	None	pron
طَالِب	student	opiskelija	μαθητής	murid	None	學生	n	studentka	estudante	сту̀дент	študent	estudiante	นักเรียน	None	noun
طَالِب	student	opiskelija	φοιτητής	mahasiswa	None	學生	n	studentka	estudante	None	None	estudiante	นักศึกษา	None	noun
لِيمُوزِين	limousine	limusiini	λιμουζίνα	limusin	リムジン	豪華轎車	n	limuzyna	limusine	limuzina	None	None	ลีมูซีน	None	noun
مُطْرِب	singer	laulaja	τραγουδιστής	penyanyi	None	歌手	n	piosenkarz	cantor	пѐва̄ч	pevec	cantante	นักร้อง	None	noun
None	damn	kirottu	None	berengsek	糞	該死的	a	cholerny	maldito	проклет	preklet	puto	None	None	adj
None	damn	pahus	None	sialan	None	糟糕	i	cholera!	porcaria	kvragu	None	maldición	ห่าเอ้ย	None	intj
حَاوَلَ	try	yrittää	δοκιμάζω	mencoba	挑戦する	嘗試	v	próbować	tentar	pokušati	poskušati	intentar	พยายาม	None	verb
None	try	kokeilla	None	mencobai	試みる	None	v	testować	testar	isprobati	None	probar	ทดลอง	None	verb
None	try	kokeilla	None	mencicipi	試す	嘗	v	próbować	experimentar	kušati	None	probar	ลอง	None	verb
None	vulgar	rivo	χυδαίος	cabul	卑しい	鄙俗	a	obsceniczny	obsceno	None	vulgaren	chabacano	หยาบคาย	None	adj
طَبْعًا	of	tietysti	βέβαια	tentu	勿論	當然	a	oczywiście	claro	наравно	sevéda	por	แน่นอน	None	adv
None	acarology	akarologia	ακαρολογία	akarologi	ダニ学	蜱蟎學	n	None	acarologia	None	None	None	None	None	noun
مُعَلِّم	teacher	opettaja	δάσκαλος	guru	先生	教師	n	nauczyciel	professor	учитељ	učítelj	maestro	ครู	None	noun
مَخْلُوق	creature	olio	πλάσμα	makhluk	生き物	生物	n	istota	criatura	би́ће	stvor	None	สัตว์	None	noun
None	blend	sekoittaa	None	mencampur	混ぜる	None	v	None	misturar	None	zmešati	mezclar	None	None	verb
None	dude	jätkä	τύπος	bung	やつ	家伙	n	koleś	cara	None	None	mae	None	None	noun
None	dude	äijä	None	bung	おす	伙計	n	koleś	cara	None	None	compadre	None	None	noun
None	manufacture	None	None	manufaktur	None	None	n	manufaktura	None	None	None	None	None	None	noun
None	wai	None	None	sembah	ワイ	None	n	None	None	None	None	None	ไหว้	None	noun
بَيَانَات	data	tieto	δεδομένα	informasi	統計	數據	n	dane	dados	податци	podatek	datos	ข้อมูล	None	noun
None	counselor	neuvoja	None	konselor	相談役	顧問	n	None	None	None	None	None	None	None	noun
حِرْفَة	vocation	ammatti	επάγγελμα	vokasi	天職	職業	n	powołanie	vocação	None	None	profesión	None	None	noun
مَلَكِيّ	royal	kuninkaallinen	βασιλικός	kerajaan	王の	王室的	a	królewski	real	кра́љевскӣ	kraljev	None	ราช	None	adj
None	refuse	jäte	απορρίματα	sampah	ごみ	垃圾	n	odrzuty	lixo	None	None	basura	ขยะ	None	noun
رَفَضَ	refuse	kieltää	αρνούμαι	menolak	断る	拒絕	v	odrzucać	recusar	о̀дбити	None	rehusar	ปฏิเสธ	None	verb
رَفَضَ	refuse	None	αρνούμαι	menolak	断る	拒絕	v	odmówić	recusar	None	None	refusar	None	None	verb
حَامَ	hover	leijailla	αιωρούμαι	layang	None	翱翔	v	zawisać	pairar	лѐбдети	None	cerner	ร่อน	None	verb
None	select	None	None	tertentu	None	特定	a	None	seleto	None	None	None	None	None	adj
None	select	None	None	pilihan	None	精选	a	None	seleto	None	None	selecto	None	None	adj
اِخْتَارَ	select	valita	None	memilih	選ぶ	選	v	wybierać	escolher	None	None	seleccionar	คัดเลือก	None	verb
مَارْكْسِيَّة	conformity	konformismi	μαρξισμός	marxisme	マルクス主義	馬克思主義	n	marksizm	marxismo	марксѝзам	marksizem	supremacía	ลัทธิมาร์กซ	None	noun
بِالضَّبْط	exactly	täsmälleen	None	tepat	正確に	恰恰	a	dokładnie	exatamente	тачно	None	exactamente	None	None	adv
None	parity	vastaavuus	None	paritas	None	None	n	None	paridade	None	None	paridad	None	None	noun
None	parity	None	None	paritas	None	胎次	n	None	número	None	None	None	None	None	noun
None	cumulative	kumulatiivinen	αθροιστικός	kumulatif	None	漸增的	a	narastający	cumulativo	None	None	acumulativo	None	None	adj
بَرِيد	email	sähköposti	ηλεκτρονικό	surel	電子メール	電子郵件	n	e-mail	correio	е-пошта	None	correo	None	None	noun
None	keeper	maalivahti	None	kiper	キーパー	None	n	None	goleiro	None	None	None	None	None	noun
None	confirmation	vahvistus	None	konfirmasi	None	None	n	potwierdzenie	confirmação	None	None	confirmación	None	None	noun
None	confirmation	konfirmaatio	None	krisma	堅信	堅信禮	n	bierzmowanie	crisma	None	None	confirmación	None	None	noun
None	permeate	None	None	tembus	染み込む	滲透	v	None	permear	None	None	percolar	None	None	verb
جَعْبَة	quiver	nuolikotelo	φαρέτρα	tarkas	矢筒	箭圖	n	kołczan	aljava	то̀болац	tul	aljaba	แล่ง	None	noun
مَكْتَب	office	toimisto	γραφείο	kantor	オフィス	辦公室	n	biuro	escritório	канцела̀рија	pisarna	oficina	สำนักงาน	None	noun
عُنْوَان	heading	otsikko	επικεφαλίδα	nona	見出し	標題	n	nagłówek	cabeçalho	на́слов	naslov	señorita	นางสาว	None	noun
دَفِيئَة	greenhouse	kasvihuone	θερμοκήπιο	rumah	ハウス	溫室	n	szklarnia	viveiro	стакленик	None	invernadero	เรือนกระจก	None	noun
None	gibber	mumista	None	bergumam	呟く	咕噥	v	mamrotać	murmurar	None	None	mascullar	None	None	verb
خِيَار	option	vaihtoehto	επιλογή	pilihan	選択	選擇	n	opcja	opção	о̀пција	možnost	opción	ตัวเลือก	None	noun
None	option	optio	None	opsi	None	期權	n	opcja	None	о̀пција	None	opción	None	None	noun
تَنَافُر	tongue-twister	kielivoimisteluloru	γλωσσοδέτης	pembelit	早口言葉	繞口令	n	łamaniec	trava-língua	бр̀залица	None	trabalenguas	None	None	noun
حَكَمَ	govern	hallita	κυβερνώ	memerintah	支配する	治理	v	rządzić	governar	у̀прављати	vladati	gobernar	ปกครอง	None	verb
اَلاِحْتِبَاس	greenhouse	kasvihuoneilmiö	φαινόμενο	efek	温室効果	溫室效應	n	efekt	efeito	None	None	efecto	ภาวะเรือนกระจก	None	noun
حَرَكَة	motion	liike	κίνηση	gerakan	動き	動作	n	ruch	movimento	кре́та̄ње	gibanje	movimiento	การเคลื่อนที่	None	noun
None	motion	aloite	πρόταση	mosi	動議	None	n	None	moção	None	None	moción	None	None	noun
حَيّ	Chinatown	kiinalaiskortteli	None	pecinan	中華街	唐人街	n	chińska	None	кинеска	None	barrio	ไชน่าทาวน์	None	noun
None	exclusive	poissulkeva	αποκλειστικός	eksklusif	None	獨家	a	ekskluzywny	exclusivo	None	None	None	None	None	adj
None	exclusive	eksklusiivinen	None	eksklusif	None	None	a	ekskluzywny	exclusivo	None	None	None	None	None	adj
None	pick	poimia	None	petik	摘む	摘	v	zrywać	colher	None	None	recoger	None	None	verb
غَضَب	ire	viha	οργή	murka	怒り	憤怒	n	wściekłość	ira	гне̑в	gnev	None	ความโกรธ	None	noun
اَلْحُبّ	love	rakkaus	κεραυνοβόλος	cinta	一目惚れ	一見鍾情	n	miłość	amor	љубав	ljubezen	flechazo	รักแรกพบ	None	noun
مَنْبُوذ	outcast	hylkiö	None	paria	のけ者	被放逐者	n	wyrzutek	deslocado	None	None	apestado	None	None	noun
بَابِلُ	Babylon	Babylonia	Βαβυλώνα	Babel	バビロン	巴比倫	n	Babilon	Babilônia	Бабилон	None	Babilonia	บาบิโลน	None	name
None	chronic	None	None	kronis	慢性的	None	a	chroniczny	crónico	None	None	None	None	None	adj
None	chronic	None	None	kronis	慢性的	慢性	a	przewlekły	crónico	None	None	None	None	None	adj
None	chronic	None	None	kronis	None	None	a	None	crónico	None	None	None	None	None	adj
مَزَاد	auction	huutokauppa	δημοπρασία	lelang	競売	拍賣	n	aukcja	leilão	ау̀кција	dražba	subasta	ขายทอดตลาด	None	noun
None	tour	kiertokäynti	περιήγηση	tur	None	None	n	None	excursão	None	None	None	ทัวร์	None	noun
None	tour	kiertue	περιοδεία	tur	None	None	n	None	turnê	turneja	None	gira	None	None	noun
رِحْلَة	tour	matka	περιοδεία	tur	旅	旅游	n	podróż	passeio	путова́ње	potovanje	recorrido	ทัวร์	None	noun
قِطْعَة	fragment	sirpale	θραύσμα	fragmen	破片	碎片	n	odłamek	fragmento	фра̀гмент	drobec	None	None	None	noun
أَيْسَر	left-handed	vasenkätinen	αριστερόχειρας	kidal	左利き	左利手	n	leworęczny	canhoto	None	None	zurdo	None	None	noun
None	sue	nostaa	μηνύω	menuntut	訴える	起訴	v	pozywać	processar	None	None	None	ฟ้อง	None	verb
None	scuba	None	None	akualung	スキューバ	水肺	n	akwalung	None	None	None	None	None	None	noun
مُسْتَذِئْب	werewolf	ihmissusi	λυκάνθρωπος	manusia	狼男	狼人	n	wilkołak	lobisomem	vukòdlak	volkodlak	hombre	มนุษย์หมาป่า	None	noun
None	diner	ravintola	μικροεστιατόριο	kedai	ダイナー	餐車	n	wagon	vagão-restaurante	None	None	None	None	None	noun
None	bachelor	kandidaatti	πτυχιούχος	sarjana	None	學士	n	licencjat	bacharel	None	None	bachiller	บัณฑิต	None	noun
أَعْزَب	bachelor	poikamies	εργένης	selibat	独身者	單身漢	n	kawaler	solteirão	нежења	None	solterón	None	None	noun
None	bachelor	kandidaatin	πτυχίο	kesarjanaan	None	None	n	None	bacharelado	None	None	bachiller	None	None	noun
None	shortcut	oikotie	παραδρόμι	jalan	近道	捷徑	n	skrót	atalho	прѐчица	bližnjica	atajo	ทางลัด	None	noun
أَدْخَلَ	enter	panna	None	memasukkan	None	None	v	None	None	None	None	None	None	None	verb
دَخَلَ	enter	astua	μπαίνω	masuk	入る	進入	v	wchodzić	entrar	ући	vstopati	None	เข้า	None	verb
الْعَرْضُ	premiere	kantaesitys	πρεμιέρα	penampilan	初演	首演	n	premiera	estreia	None	None	estreno	None	None	noun
طائِفَة	cult	lahko	αίρεση	sekte	カルト	邪教	n	sekta	culto	ку̏лт	None	secta	นิกาย	None	noun
تَحَوُّل	transformation	muutos	μετασχηματισμός	transformasi	変形	轉型	n	przekształcenie	transformação	преображе́ње	None	transformación	None	None	noun
None	transformation	muunnos	μετασχηματισμός	transformasi	None	None	n	transformacja	None	None	None	None	None	None	noun
None	sulfuric	rikkihappo	θεϊκό	asam	None	硫酸	n	kwas	ácido	None	None	None	None	None	noun
حَلِيب	coconut	kookosmaito	None	santan	ココナッツミルク	椰奶	n	mleczko	leite	None	None	agua	กะทิ	None	noun
جَنِين	fetus	sikiö	έμβρυο	janin	胎児	胎兒	n	płód	feto	фе́тус	plod	None	ทารกในครรภ์	None	noun
خِزَانَة	cupboard	astiakaappi	ντουλάπι	lemari	食器棚	櫥櫃	n	szafa	armário	креденац	omara	armario	ตู้	None	noun
طيّب	fine	oivallinen	εντάξει	baik	平凡	None	a	None	bom	None	v	bueno	ดี	None	adj
None	fine	hieno	None	halus	None	None	a	None	fino	None	fin	None	None	None	adj
اِحْتَضَنَ	embrace	halata	ασπάζομαι	memeluk	抱擁する	擁抱	v	obejmować	abraçar	гр̏лити	objemati	abrazar	กอด	None	verb
اَلْحَرْبُ	World	toinen	Β΄	Perang	第二次世界大戦	第二次世界大戰	n	druga	Segunda	None	None	None	สงครามโลกครั้งที่สอง	None	name
اَلنِّرْفَانَا	nirvana	onni	μακαριότητα	nirwana	寂滅	涅槃	n	None	None	None	None	None	นิพพาน	None	noun
None	onanism	onania	αυνανισμός	onani	オナニー	None	n	None	onanismo	мануступрација	None	None	None	None	noun
