Sense	Arabic	English	Finnish	Greek	Indonesian	Japanese	Mandarin Chinese	POS	Polish	Portuguese	Serbo-Croatian	Slovene	Spanish	Thai	lang	POS
pertaining to a beginning or first stage of a process	None	liminal	None	None	tingkat awal	None	None	a d j	None	None	None	None	None	None	None	adj
father of grandparent	None	great-grandfather	isoisoisä isoisän isä	προπάππος	kakek buyut	None	曾祖父	n o u n	pradziadek	bisavô	прадеда pradeda	praded	bisabuelo	None	None	noun
The relationship resulting from affiliating one thing with another	None	affiliation	yhteys kytkös	δεσμός	afiliasi	None	None	n o u n	powiązanie afiliacja	afiliação filiação	pripadnost	None	afiliación filiación	None	None	noun
male voice	None	baritone	baritoni barytoni	None	bariton	バリトン	男中音	n o u n	baryton	barítono	None	None	None	None	None	noun
musical range	None	baritone tenor	baritoni tenori	None	bariton	テノール	男高音	n o u n	baryton	barítono	None	None	None	None	None	noun
particular period of history	عَصْر عُصُور زَمَان	epoch	aikakausi ajanjakso epookki	εποχή	kala	None	時代 时代 會 会	n o u n	epoka	época era	епо́ха epóha	epoha	None	ยุค กาล	None	noun
stamped metal disc	مِيدَالِيَة مِِيدَالْيَة وِسَام	medal	mitali	μετάλλιο	medali	賞牌 メダル 勲章	獎章 奖章 勳章 勋章 勛章	n o u n	None	medalha	медаља medalja	None	medalla	เหรียญ	None	noun
scrupulous with regard to telling the truth	نَزِيه صَادِق صادق	honest	rehellinen	τίμιος έντιμος	jujur	誠実	誠實 诚实 正直 老實 老实	a d j	uczciwy szczery	honesto sincero	поштен честит искрен pošten čestit iskren	None	None	ซื่อสัตย์	None	adj
Diminutive of aunt	None	auntie	tätönen	θείτσα	tante	おばさん おばちゃん	阿姨 老大媽 老大妈	n o u n	ciocia	titia	None	tetka tetica	None	None	None	noun
person who organizes and operates a business and assumes the associated risk	مُتَعَهِّد مُقَاوِل مُلْتَزِم مُنَظِّم	entrepreneur	yrittäjä liikeyrittäjä	επιχειρηματίας	wirausaha	起業家 アントレプレナー アントルプルヌール 事業家	企業家 企业家	n o u n	przedsiębiorca przedsiębiorczyni	empreendedor empreendedora	предузетник предузетница по̏дузе̄тнӣк по̏дузе̄тница preduzetnik preduzetnica pȍduzētnīk pȍduzētnica	podjetnik podjetnica	emprendedor emprendedor comercial comerciante	ผู้ประกอบการ	None	noun
showing good judgement	حَكِيم فَطِن فَطُن عَاقِل	wise	viisas	σοφός	bijaksana bijak wicak	賢い 賢明な	明智 英明 高明 聰明 聪明	a d j	mądry	sábio sensato	му́дар у̑ман múdar ȗman	moder	sabio juicioso sapiente	เฉลียวฉลาด	None	adj
genitals or sex organs	أَعْضَاء تَنَاسُلِيَّة أعضاء تناسلية	genitalia	sukuelimet genitaalit sukupuolielimet	γεννητικά όργανα	alat kemaluan kemaluan abaimana	性器 恥部	生殖器 外生殖器 陰部 阴部	n o u n	narządy płciowe	genitália	генѝта̄лије сполни органи споло̀вила genìtālije spolni organi spolòvila	genitalije	genitales partes pudendas partes íntimas órganos sexuales aparato sexual	อวัยวะเพศ	None	noun
leaflet listing information about a play, game or other activity	بَرْنَامَج	program	ohjelma ohjelmalehtinen	πρόγραμμα	programa	演目 プログラム	None	n o u n	repertuar	None	None	None	None	None	None	noun
performance of a show or other broadcast on radio or television	بَرْنَامَج بَرْنامَج	program	ohjelma esitys	πρόγραμμα εκπομπή	acara programa	番組	節目 节目	n o u n	audycja emisja	None	про̀грам емѝсија prògram emìsija	oddaja	None	รายการ โปรแกรม	None	noun
software application	بَرْنَامَج	program adware	ohjelma mainosohjelma	πρόγραμμα	tata olah	プログラム アドウェア	應用程式 应用程式 程序 程式 廣告軟件 广告软件	n o u n	oprogramowanie reklamowe	programa	про̀грам prògram адвер рекламни софтвер оглашивачки софтвер adver reklamni softver oglašivački softver	oglaševalsko programje oglaševalska programska oprema	programa publicitario	โปรแกรม	None	noun
container used mainly for displaying flowers	زَهْرِيَّة ڤازة مَزْهَرِيَّة	vase	maljakko	ανθοδοχείο βάζο	vas	None	花瓶	n o u n	wazon	vaso	ва́за váza	vaza	jarrón florero vasija	แจกัน	None	noun
someone who is not a professional in a given field	None	layman	maallikko	ερασιτέχνης ερασιτέχνις	awam	None	None	n o u n	laik	profano leigo	ла̀ик làik	None	lego aficionado	None	None	noun
having an acidic, sharp or tangy taste	حَامِض حامض	sour	hapan kirpeä	ξινός	asam	すっぱい 酸っぱい	酸	a d j	kwaśny	azedo	ки̏сео kȉseo	kisel	agrio ácido	เปรี้ยว	None	adj
made rancid by fermentation, etc.	None	sour	hapantunut härskiintynyt	ξινισμένος	diasami	None	None	a d j	zjełczały	coalhado	None	None	agrio acedo	None	None	adj
pleasing to taste	لَذِيذ شَهِيّ لذيذ حلو طِعِم لزيز بنين لديد زاكي	delicious	herkullinen maukas hyvänmakuinen	εύγευστος νόστιμος	lezat sedap enak	美味しい 旨い	好吃 可口 美味 鮮美 鲜美 好喝	a d j	smaczny pyszny wyśmienity dobry	delicioso saboroso gostoso apetitoso	у̀кусан ùkusan	okusen slasten	sabroso rico gustoso	อร่อย	None	adj
pitch	None	soprano mezzo-soprano	sopraano	None	sopran	ソプラノ メゾソプラノ	女高音 女中音	n o u n	None	None	None	None	None	None	None	noun
unwilling to yield possession of	None	possessive	None	None	posesif	None	None	a d j	zaborczy	possessivo	None	None	posesivo celoso	None	None	adj
sudden overthrow of a government	اِنْقِلَاب	coup d'état	vallankaappaus	πραξικόπημα	kudeta	クーデター 政変	政變 政变 苦迭打	n o u n	zamach stanu przewrót pucz	golpe de estado	пре̏вра̄т пу̏ч др̀жа̄внӣ у̏да̄р prȅvrāt pȕč dr̀žāvnī ȕdār	držávni udár púč	None	รัฐประหาร	None	noun
erect penis	اِنْتِصَاب	boner	seisokki stondis heijari	σηκωμάρα καύλα	ngaceng konak	None	勃起	n o u n	kościej	pau duro tesão	None	None	erección tieso empalme	None	None	noun
community business association	None	chamber of commerce	kauppakamari	None	kamar dagang	商工会議所	商會 商会	n o u n	izba handlowa	câmara de comércio	None	None	cámara de comercio	หอการค้า	None	noun
piece of clothing worn on the upper body outside a shirt or blouse	جَاكِيت سُتْرَة جاكتّة جكِيت جاكيطة	jacket	takki pusakka	σακάκι ζακέτα	jaket	ジャケット	夾克 夹克 上衣	n o u n	kurtka	jaqueta	ја̀кна jàkna	jakna suknjič	chaqueta campera casaca cazadora chamarra chompa chumpa jacket (pronounced 'yáquet')	เสื้อแจ็กเก็ต	None	noun
piece of a person's suit	None	jacket	takki pikkutakki	σακάκι	jas	ジャケット	夾克 夹克	n o u n	marynarka żakiet	paletó	са̀ко̄ sàkō	suknjič	chaqueta saco americana gabán paltó	None	None	noun
protagonist	نَصِير بَطَل بَطَلَة بِينُوكْيُو	hero Pinocchio	päähenkilö sankari Pinokkio	ήρωας ηρωίδα Πινόκιο	Pinokio	主人公 ピノキオ ピノッキオ	主角 皮諾喬 皮诺乔 皮諾曹 皮诺曹 匹諾曹 匹诺曹 木偶奇遇記 木偶奇遇记	n a m e	bohater	herói heroína Pinóquio	ју̀на̄к јуна̀киња jùnāk junàkinja Пинокио	Ostržek	héroe Pinocho	ปิน็อกกีโอ	None	name
person of great bravery	بَطَل بَطَلَة أَبْطَال	hero	sankari sankaritar urho sankar	ήρωας ηρωίδα	pahlawan	勇者 ヒーロー	英雄 勇士	n o u n	bohater bohaterka heros	herói heroína	ју̀на̄к јуна̀киња хѐро̄ј херои́на jùnāk junàkinja hèrōj	junak heroj junakinja heroina	héroe	วีรบุรุษ	None	noun
weapon consisting of two sticks joined by a chain or cord	None	nunchaku	None	None	ruyung	双節棍 ヌンチャク ヌウチク	雙節棍 双节棍	n o u n	nunczako nunczaku	None	None	None	chaco	None	None	noun
delay until some event	اِنْتَظَرَ استنى انتظر تسنى ستنى عاين	wait	odottaa	περιμένω	menunggu	待つ	等 等待 待 候	v e r b	czekać oczekiwać	esperar aguardar	чекати čekati	čakati	None	รอ	None	verb
large, destructive wave generally caused by a tremendous disturbance in the ocean	تْسُونَامِي تسونامي	tsunami	hyökyaalto	τσουνάμι	gloro galoro	津波 津浪	海嘯 海啸	n o u n	None	maremoto	veleval цуна́ми cunámi	None	None	สึนามิ คลื่นยักษ์	None	noun
person who issues call to prayer	مُؤَذِّن	muezzin	muessin	μουεζίνης	muazin	ムアッジン	宣禮員 宣礼员 喚禮員 唤礼员 穆安津	n o u n	muezin	almuadem muezim	мујезин mujezin	None	almuédano almuecín muecín	None	None	noun
hard, brittle alloy of iron, carbon, silicon	None	cast iron	valurauta	None	besi tuang	鋳鉄	鑄鐵 铸铁	n o u n	żeliwo	ferro fundido	lijevano željezo	None	hierro fundido hierro colado fundición	None	None	noun
to rise from one's bed	قَامَ نَهَضَ اَفَاقَ تَسَلَّقَ وَقَّفَ	get up	nousta ylös	σηκώνομαι	bangun	起きる	起床	v e r b	wstawać wstać	levantar	устајати устати ustajati ustati	vstajati vstati	levantarse	ลุก	None	verb
having sexual appeal	جَذَّاب جِنْسِيّ مُثِير لِلشَّهْوَة سِيكْسِي سِكْسي	sexy	seksikäs	σέξι	seksi	セクシー 色っぽい	性感	a d j	None	sensual	None	None	None	เซ็กซี่	None	adj
up-side of a flat object	سَطْح	surface	pinta	επιφάνεια	permukaan	None	表面	n o u n	powierzchnia	superfície	по̏вршина pȍvršina	površina	superficie	พื้นผิว	None	noun
limitation, restriction or regulation	شَرْط	term	ehto	None	syarat	None	條件 条件	n o u n	warunek	termo	None	None	términos	None	None	noun
word or phrase, especially one from a specialised area of knowledge	اِصْطِلَاح مُصْطَلَح	term	termi	όρος	istilah	述語 言葉	術語 术语 用語 用语	n o u n	określenie termin	termo	None	None	término	คำ ศัพท์	None	noun
To execute a computer's boot process and reload the operating system	None	reboot	uudelleenkäynnistää käynnistää uudelleen	επανεκκινώ	menghidupkan ulang	再起動する リブートする	重新啟動 重新启动	v e r b	uruchomić ponownie	reiniciar reinicializar	ponovno pokrenuti	ponovno zagnati	None	None	None	verb
a sequence of units that reads the same forwards as backwards	قَلْب مُسْتَوٍ	palindrome	palindromi	καρκινική γραφή	palindrom	None	回文	n o u n	None	palíndromo capicua	палѝндро̄м palìndrōm	None	capicúa	พาลินโดรม	None	noun
the upper house in some bicameral legislative systems	مَجْلِس الشُّيُوخ	senate	senaatti	γερουσία	senat	上院 元老院	參議院 参议院	n o u n	None	senado	сѐна̄т sènāt	None	None	วุฒิสภา	None	noun
mother of one's grandparent	None	great-grandmother	isoisoäiti	προγιαγιά	nenek buyut	曾お祖母さん	曾祖母	n o u n	prababcia prababka	bisavó	пра̀баба праба́ка pràbaba prabáka	prababica	bisabuela	None	None	noun
philosopher's stone	حَجَر اَلْفَلَاسِفَة	philosopher's stone	viisasten kivi	φιλοσοφική λίθος	batu bertuah	賢者の石	魔法石 哲人之石 點金石 点金石	n o u n	kamień filozoficzny tynktura	pedra filosofal	камен мудрости камен мудраца kamen mudrosti kamen mudraca	kamen modrosti	piedra filosofal	ศิลาอาถรรพ์	None	noun
equipped with intelligent behaviour (digital/computer technology)	None	smart	älykäs äly- täsmä-	None	cerdas pintar	None	None	a d j	inteligentny zręczny umiejętny sprytny	None	pametan inteligentan	pametni	None	None	None	adj
good-looking	None	smart	tyylikäs hyvännäköinen komea	None	elegan elok necis	美しい 整った 上品な 優雅な	None	a d j	elegancki	elegante	None	None	None	None	None	adj
to masturbate	اِسْتَمْنَى مَارَسَ الْعَادَة السِّرِّيَّة	masturbate	tyydyttää itsensä harjoittaa itsetyydytystä masturboida itsetyydyttää	αυνανίζομαι	merancap onani masturbasi	オナニーする オナる マスターベーションする マスをかく シコる 抜く 扱く	手淫 自慰 打手槍 打手枪	v e r b	masturbować się onanizować się uprawiać ipsację walić gruchę	masturbar-se masturbar	мастурби́рати самозадовоља́вати се masturbírati samozadovoljávati se	masturbirati	masturbarse	ช่วยตัวเอง	None	verb
a large amount of	كَثِير كتير كثير	much	paljon	None	banyak	沢山 多くの 多い	多 很多 好多	d e t	dużo wiele	muito um monte de	пуно мно̏гӣ мно̏го puno mnȍgī mnȍgo	veliko mnogo	mucho	มาก หลาย	None	det
strong in the face of fear	شُجَاع جَرِيء جَسُور شجيع	brave	rohkea urhea reipas	γενναίος θαρραλέος	berani	勇敢な 勇気ある 勇猛な 雄々しい	勇敢	a d j	odważny chrobry dzielny	bravo valente corajoso	храбар hrabar	pogumen hraber	valiente valeroso corajudo	กล้าหาญ	None	adj
to encounter with courage	None	brave	uhmata kohdata rohkeasti	None	menerjang	None	None	v e r b	None	None	None	None	None	None	None	verb
clothes	مَلَابِس ثِيَاب هدوم لبس ملابس حوايج تياب أواعي	clothing	vaatetus vaatteet pukimet asu	ρούχο	pakaian	服 衣類	衣服 衣裳 衣著 衣着	n o u n	odzież ubrania odzienie	roupa veste vestidura vestimenta indumento traje	одећа одежда odeća odežda	obleka perílo	ropa ropaje indumentaria vestido atuendo atavío	เสื้อผ้า	None	noun
fast-burning fire	سَعِيرَا	blaze	roihu loimu	None	kobaran	炎 火炎	火焰	n o u n	None	labareda	None	None	llama llamarada fogonazo	None	None	noun
rigid state of penis or clitoris	نُعُوظ اِنْتِصَاب	erection	erektio seisokki seisonta	στύση	ereksi ngaceng	エレクション	勃起	n o u n	wzwód erekcja	ereção	erèkcija ерѐкција	erékcija	erección	การแข็งตัวขององคชาต	None	noun
person or organization to which something is addressed or sent	مُسْتَلِم مُسْتَلِمَة	addressee	vastaanottaja	παραλήπτης αποδέκτης	komunikan	受取人 受信人	收件人	n o u n	adresat adresatka odbiorca odbiorczyni	destinatário destinatária alocutário	на́сло̄внӣк на́сло̄вница адрѐса̄т náslōvnīk náslōvnica adrèsāt	naslovljenec naslovljenka naslovnik naslovnica nagovorjenec nagovorjenka	destinatario consignatario	None	None	noun
catalytic protein	انزيم	enzyme	entsyymi	ένζυμο	enzim	None	酶 酵素	n o u n	enzym	enzima	ензим	None	None	เอนไซม์	None	noun
to secretly plot	تَآمَرَ اِئْتَمَرَ	conspire	juonitella	συνωμοτώ	berkomplot	企む	勾结	v e r b	spiskować konspirować kombinować knuć uknuć	conspirar	None	None	None	None	None	verb
device to make fire	شَحّاطَة شَخَّاطَة كِبْرِيت كِبْرِيتَة ثِقَاب عُود ثِقَاب عُود كِبْرِيت وَقِيد وَقِيدة وقيد وقيدة	match	tulitikku	σπίρτο	korek api	マッチ 燐寸	火柴	n o u n	zapałka	palito de fósforo fósforo	ши̏бица жи̏гица палидр́вце šȉbica žȉgica palidŕvce	vžigalica	cerilla cerillo misto	ไม้ขีดไฟ	None	noun
polite term of address to a woman	سَيِّدَة سَيِّدَتِي أُسْتَاذَة مَدَام	madam	rouva	κυρία	nyonya puan	奥様 奥さん	太太 女士 夫人	n o u n	pani	madame madama senhora	го̏спођа gȍspođa	gospa	señora	แหม่ม	None	noun
become invalid	None	expire	None	None	kedaluwarsa	失効する	失效	v e r b	wygasnąć	vencer expirar	None	None	caducar	None	None	verb
one of a kind	فَرِيد فَذّ وَحِيد	unique	ainutlaatuinen	μοναδικός	unik	唯一無二 ユニーク	獨一無二 独一无二 唯一 特異 特异	a d j	unikalny niepowtarzalny unikatowy wyjątkowy	único	једѝнствен jedìnstven	edinstven	señero	None	None	adj
rate or capacity of offspring production	None	fecundity	None	None	fekunditas	None	None	n o u n	None	fecundidade	None	None	None	None	None	noun
rate of production of young by a female	None	fecundity	None	None	fekunditas	None	None	n o u n	None	fecundidade	None	None	None	None	None	noun
container for food	زِبْدِيَّة سُلْطَانِيَّة زُبْدِيَّة سلطنية بولا زُبدية زلافة	bowl	kulho malja vati	μπολ	mangkok mangkuk	茶碗 ボウル 丼	碗	n o u n	misa	tigela	чѝнија зде̏ла здје̏ла čìnija zdȅla zdjȅla	skleda	tazón cuenco bol	ชาม	None	noun
member of an army	جُنْدِيّ عَسْكَرِيّ عسكري	soldier	sotilas solttu	στρατιώτης	prajurit tentara serdadu laskar askar	兵士 兵隊	士兵 兵 軍人 军人 戰士 战士	n o u n	żołnierz wojak woj	soldado	во̀јнӣк војнѝкиња војнослужац во̀ја̄к а̏скер vòjnīk vojnìkinja vojnoslužac vòjāk ȁsker	vojak vojákinja	None	ทหาร	None	noun
ruler or monarch of a grand duchy	غْرَانْدُوق	grand duke	suurherttua	None	adipati agung haryapatih	None	太公	n o u n	wielki książę	grão-duque	None	None	gran duque	แกรนด์ดุ๊ก แกรนด์ดยุก	None	noun
state of not being imprisoned or enslaved	حُرِّيَّة حرية	freedom	vapaus	ελευθερία	kebebasan kemerdekaan	None	自由	n o u n	wolność swoboda	liberdade	слобо̀да slobòda	svoboda prostost	libertad	อิสรภาพ	None	noun
lack of a specific constraint	حُرِّيَّة	freedom	vapaus	ελευθερία	kebebasan	None	自由	n o u n	wolność swoboda	liberdade	слобо̀да slobòda	svoboda	libertad	None	None	noun
to clean oneself with water	اِسْتَحَمَّ اِغْتَسَلَ	bathe	kylpeä peseytyä	None	mandi	浴びる 入浴する	沐浴 洗浴	v e r b	kąpać się	banhar	купати се kupati se	kopati se	bañarse	อาบ อาบน้ำ	None	verb
to clean a person by immersion in water	None	bathe	kylvettää	None	memandikan	浴びせる	None	v e r b	kąpać	banhar	None	None	bañar	อาบน้ำ	None	verb
to cover or surround	None	bathe	peittää peittyä kylpeä	None	bermandikan	None	None	v e r b	None	None	None	None	None	None	None	verb
to apply water to	None	bathe	kastaa kastella kostuttaa	None	membasuh	None	None	v e r b	None	None	None	None	lavar	None	None	verb
portion of the esophagus with ingested grit	قانِصَة	gizzard	kivipiira lihasmaha purumaha	None	ampela	砂嚢	肫	n o u n	mielec żołądek mięśniowy	moela	жѐлудац žèludac	None	molleja	กึ๋น	None	noun
protective charm	تَمِيمَة أُخْذَة تَعْوِيذَة حِجَاب حِرْز رُقْيَة	amulet	amuletti	φυλαχτό	jimat	お守り アミュレット	護身符 护身符 護符 护符 護身符子 护身符子 辟邪物	n o u n	None	amuleto	амулет талисман talisman	None	talismán	เครื่องราง พิสมร ของขลัง	None	noun
member of the untouchable castes in Indian society	None	pariah	paaria	None	paria	None	None	n o u n	parias	pária	None	None	None	None	None	noun
greeting between sunrise and sunset	نَهَارَك سَعِيد مَسَاء اَلْخَيْر مَسَاء اَلنُّور	good day	hyvää päivää päivää	καλημέρα	selamat sore selamat siang	こんにちは 今日は	日安 你好	p h r a s e	dzień dobry	bom dia	до̏бар да̑н dȍbar dȃn	dóber dán	buenos días buenas	สวัสดี	None	phrase
an organism too small to be seen by unaided eye	مِيكْرُوب	microorganism	mikro-organismi	μικροοργανισμός	mikroorganisme	None	微生物	n o u n	mikroorganizm	micro-organismo microrganismo	mikroorganìzam	None	microorganismo	จุลชีพ จุลินทรีย์	None	noun
better than usual	None	super	None	υπέρ	amat	超 すばらしい	優秀 优秀 出色	a d j	None	súper	None	None	None	None	None	adj
game similar to tennis	بِينْغ بُونْغ كُرَة طَاوِلَة تَنِس طَاوِلَة	table tennis	pöytätennis pingis	επιτραπέζια αντισφαίριση πινγκ πονγκ	tenis meja	卓球 ピンポン	乒乓球 桌球	n o u n	tenis stołowy ping-pong	tênis de mesa pingue-pongue	стони тенис столни тенис пинг понг stoni tenis stolni tenis ping pong	namizni tenis	tenis de mesa	ปิงปอง	None	noun
legislative body	مَجْلِس جَمْعِيَّة كُونْجْرِس كُونْغْرِس كُونْقْرِس مَجْلِس أَعْلَى	chamber assembly congress Senate	kamari kokous kongressi eduskunta senaatti	επιμελητήριο διασκεπτήριο σύνοδος συνέλευση κογκρέσο γερουσία	kongres	会議 議会 上院 参議院 元老院	律師 律师 大會 大会 會議 会议 代表大會 代表大会 國會 国会 參議院 参议院 議院 议院 議會 议会	n a m e	izba zgromadzenie	câmara assembléia congresso senado	skupština sabor ко̀нгрес kòngres	None	cámara asamblea congreso	รัฐสภา	None	name
a voluntary gift or contribution for a specific cause	تَبَرَّع هِبَة	donation	lahja lahjoitus	δωρεά συνεισφορά εισφορά	sumbangan donasi	寄付	捐贈 捐赠	n o u n	dar darowizna donacja datek	doação	по̀клон дона́ција pòklon donácija	donacija	donación donativo	None	None	noun
fire	None	go off burning forest fire	palo palaminen metsäpalo	εκπυρσοκροτώ καύση αγροτοδασική πυρκαγιά	kebakaran hutan	山林火災 山火事	林火 森林大火 森林火災 森林火灾	n o u n	None	queima incêndio florestal	None	None	disparar incendio forestal	ไฟป่า	None	noun
stone	حَصَاة حصوة حَصْوة	pebble lithic petro- Einang stone tenamaste	pikkukivi	None	kerikil	小石	礫石 砾石 石子 卵石 鵝卵石 鹅卵石	n o u n	kamyk kamyczek	seixo pedregulho pedrinha	petr- petri-	None	guijarro canto pelado canto rodado china lítico tenamastle tenamaxtle	กรวด	None	noun
marriage ceremony	عُرْس زِفَاف عرس زواج جُوَاز فرح	wedding	häät	γάμος	pernikahan	結婚式	婚禮 婚礼	n o u n	ślub swadźba wesele	casamento boda casório	сва̀дба венча́ње вјенча́ње svàdba venčánje vjenčánje	poroka svatba	nupcias casamiento casorio	งานแต่งงาน	None	noun
every	كُلّ كل	each	jokainen kaikki kukin	έκαστος κάθε κάθε ένας καθένας	setiap	それぞれの	每 各 每隔	d e t	każdy	cada	сваки svaki	vsak	cada uno	ทุก	None	det
old; out of date	عَتِيق قَدِيم	antique	antiikkinen	None	antik	古い 骨董の アンティークの	古代 古老	a d j	antyczny	antigo antiquado	а̀нтичкӣ àntičkī	None	antiguo	None	None	adj
mythological creature	مَصَّاص دِمَاء مَصَّاصَة دِمَاء	catoblepas hippocampus vampire	katoblepas hippokamppi vampyyri	ιππόκαμπος βαμπίρ βρικόλακας δράκουλας	vampir	カトブレパス ヴァンパイア バンパイア	吸血鬼	n o u n	wampir upiór wampirzyca wąpierz	catóblepa hipocampo vampiro	вампир вампирка вампирица vampirka vampirica	vampír	catóblepon catoblepa	คาโตเบลพาส	None	noun
conditional; depending on something else	نِسْبِيّ	relative	suhteellinen relatiivinen	σχετικός συγκριτικός	relatif nisbi bertalian	相対的	有關的 有关的 相對的 相对的 關連的 关连的	a d j	relatywny odnośny względny	relativo	None	None	None	None	None	adj
someone in the same family; someone connected by blood, marriage, or adoption	قَرِيب قَرِيبَة أَقْرِبَاء قريب أقربا	relative	sukulainen	συγγενής οικείος	kerabat	身内	親戚 亲戚	n o u n	krewny krewna	parente parenta	ро̑д сро̏днӣк сро̏дница rȏd srȍdnīk srȍdnica	sorodnik sorodnica	familiar pariente parienta parentela deudo	ญาติ	None	noun
embalmed corpse	مُومِيَاء	mummy	muumio	μούμια	mumi	ミイラ	木乃伊	n o u n	mumia	múmia	му̑мија mȗmija	mumija	momia	มัมมี่	None	noun
grass-like plant	قَصَبَة بُوصَة قصبة بوصة قصب	reed	kaisla ruoko	καλάμι καλαμιά	alang alang-alang	葦 蘆	蘆葦 芦苇	n o u n	trzcina	junco cana	trska	trsje	carrizo caña	กก	None	noun
the broken remains of an object, usually rock or masonry	أَنْقَاض	rubble	rauniot	None	puing	None	瓦礫 瓦砾 碎石	n o u n	rumowisko	entulho escombros	None	None	None	None	None	noun
religious recluse; eremite	راهب	hermit	erakko	ερημίτης	resi	仙人	隐士	n o u n	anachoreta eremita pustelnik pustelnica pustelniczka	ermitão	None	None	ermitaño	นักบวช	None	noun
sum or source of money	ذَخِيرَة	fund	rahasto varat rahat rahoitus	απόθεμα κεφάλαιο κονδύλι	dana	None	資金 资金	n o u n	fundusz	fundo capital	фо̏нд fȍnd	sklad fond	fondo	กองทุน ทุน	None	noun
state of being alone	عُزْلَة	solitude	yksinäisyys	μοναξιά	kesepian	None	孤寂 孤獨 孤独 孑然	n o u n	samotność	solidão	osama	samota	soledad solitud	ความโดดเดี่ยว	None	noun
part of bird's or animal’s alimentary tract	حَوْصَلة	crop	kupu	πρόλοβος γκούσα	tembolok	None	嗉囊 嗉子	n o u n	wole	papo	volja	None	buche	กระเพาะพัก	None	noun
within a short time	قَرِيبًا سَرْعَانَ مَا سِرْعَانَ مَا سُرْعَانَ مَا قريّب عن قريّب	soon	pian kohta	σύντομα νωρίς	segera	すぐに もうすぐ 近々	不久 快	a d v	wkrótce niedługo	logo em breve	у̏скоро у̏бр̄зо ȕskoro ȕbr̄zo	kmálu	pronto en breve	ในไม่ช้า	None	adv
moving disturbance, undulation	مَوْج موج موجة	wave	aalto	κύμα	alun ombak gelombang	周波	波浪 波 浪	n o u n	fala bałwan	onda vaga	та̏ла̄с ва̑л tȁlās vȃl	val	ola	คลื่น	None	noun
to one another; one to the other	بَعْضُهُ الْبَعْض	each other	toisensa toinen toisensa	αλλήλων	saling	お互いに 互い お互い	互相 彼此 交互	p r o n	nawzajem jeden drugiego jeden drugiemu	um ao outro se	None	None	el uno al otro entre sí mutuamente	กันและกัน	None	pron
person who studies a subject	طَالِب طَالِبَة تِلْمِيذ تِلْمِيذَة طالب طالبة	student	opiskelija tutkija	μαθητής μαθήτρια σπουδαστής σπουδάστρια μελετητής	murid pelajar siswa siswi	None	學生 学生	n o u n	studentka uczeń uczennica	estudante aluno aluna estudioso estudiosa	сту̀дент сту̀дентица сту̀денткиња stùdent stùdentica stùdentkinja	študent študentka	estudiante	นักเรียน	None	noun
person enrolled at a university	طَالِب طَالِبَة	student	opiskelija ylioppilas	φοιτητής φοιτήτρια	mahasiswa mahasiswi	None	學生 学生	n o u n	studentka	estudante académico académica acadêmico acadêmica aluno aluna	None	None	estudiante alumno alumna universitario	นักศึกษา	None	noun
luxury sedan/saloon car	لِيمُوزِين	limousine	limusiini	λιμουζίνα	limusin limosin	リムジン リモ	豪華轎車 豪华轿车 加長轎車 加长轿车	n o u n	limuzyna	limusine limusina	limuzina	None	None	ลีมูซีน ลีโม	None	noun
person who sings (male or generic term)	مُطْرِب مُغَنٍّ الْمُغَنِّي مغني	singer	laulaja	τραγουδιστής	penyanyi	None	歌手	n o u n	piosenkarz śpiewak	cantor	пѐва̄ч пјѐва̄ч pèvāč pjèvāč	pevec	cantante	นักร้อง	None	noun
generic intensifier	None	damn	kirottu samperin saamarin pahuksen	None	berengsek sialan bedebah keparat	糞	該死的 该死的	a d j	cholerny przeklęty	maldito merda de porra de	проклет proklet	preklet	puto	None	None	adj
non-vulgar expression of contempt etc.	None	damn	pahus hitto samperi saamari	None	sialan kampret brengsek	None	糟糕 該死 该死 你妹	i n t j	cholera! do diabła! psiakrew! kurde psiamać do pioruna holender kurna chata do licha	porcaria maldição droga poça meleca lasqueira pindarolas chiça	kvragu	None	maldición maldita sea diablos	ห่าเอ้ย	None	intj
to attempt	حَاوَلَ حَاوِل حاول جَرَّب	try	yrittää	δοκιμάζω	mencoba	挑戦する 努める 試す やってみる みる	嘗試 尝试 企圖 企图 試 试	v e r b	próbować starać się	tentar	pokušati покушати	poskušati poskusiti	intentar tratar	พยายาม	None	verb
to put to test	None	try	kokeilla koettaa	None	mencobai	試みる	None	v e r b	testować	testar	isprobati	None	probar	ทดลอง ทดสอบ	None	verb
to taste, sample, etc	None	try	kokeilla	None	mencicipi	試す	嘗 尝 嘗味 尝味	v e r b	próbować	experimentar provar	kušati probati	None	probar	ลอง ชิม	None	verb
distasteful, uncouth, obscene	None	vulgar	rivo vulgaari alatyylinen sivistymätön	χυδαίος πρόστυχος αγοραίος	cabul kotor jorok tak senonoh	卑しい 汚い	鄙俗 粗俗	a d j	obsceniczny wulgarny	obsceno indecente	None	vulgaren	chabacano ramplón	หยาบคาย	None	adj
naturally	طَبْعًا	of course	tietysti tietenkin totta kai ilman muuta	βέβαια φυσικά ασφαλώς	tentu	勿論 当たり前	當然 当然	a d v	oczywiście	claro naturalmente lógico	наравно naravno	sevéda	por supuesto desde luego por descontado	แน่นอน	None	adv
the study of ticks and mites	None	acarology	akarologia	ακαρολογία	akarologi	ダニ学	蜱蟎學 蜱螨学	n o u n	None	acarologia	None	None	None	None	None	noun
