synset	lemma	annotation	goodness label	confidence	language	prediction label
02818832-n	tempat tidur	KEEP	None	1	English	KEEP
01674242-a	rutin	DELETE	O	None	None	KEEP
00077196-a	apung	KEEP	L	None	None	KEEP
07375405-n	paduan	KEEP	O	1	English	KEEP
08908509-n	bali	KEEP	None	4	Portuguese, Greek, English, Japanese	KEEP
08500433-n	tempat	DELETE	O	1	English	KEEP
15218272-n	ramadhan	KEEP	None	None	None	KEEP
02599636-v	membutuhkan	DELETE	O	1	Portuguese	KEEP
00103554-r	dahulu	KEEP	O	1	English	KEEP
00294245-v	bermayang	DELETE	O	None	None	KEEP
05849284-n	kualitas	KEEP	None	1	Finnish	KEEP
01838151-a	tepat	KEEP	O	None	None	KEEP
12435777-n	bawang prei china	KEEP	None	None	None	KEEP
02620587-v	menjadi	DELETE	O	1	Finnish	KEEP
01019283-a	cacat	KEEP	O	None	None	KEEP
04451818-n	perkakas	KEEP	O	1	Serbo-Croatian	KEEP
01296324-v	menjembatani	KEEP	O	None	None	KEEP
02196107-a	100	KEEP	None	None	None	KEEP
10412055-n	pejalan kaki	KEEP	None	4	Spanish, Greek, Finnish, English	KEEP
02022162-v	menjadi	KEEP	O	None	None	KEEP
01783158-a	religi	KEEP	None	3	Portuguese, Finnish, English	KEEP
06606694-n	pokok	KEEP	O	None	None	KEEP
02333976-a	hampa	KEEP	O	None	None	KEEP
05217168-n	rupa	DELETE	O	1	Portuguese	KEEP
08831004-n	australia	KEEP	None	None	None	KEEP
00524682-v	meluwengkan	DELETE	O	1	Finnish	KEEP
00027807-n	corak	DELETE	O	1	English	KEEP
00947128-n	gunakanlah	KEEP	None	5	Slovene, Greek, Finnish, Portuguese, English	KEEP
02225510-a	ahli	KEEP	O	1	Finnish	KEEP
00758333-v	menuntut	KEEP	O	1	Finnish	KEEP
01380122-v	menghamburkan	DELETE	O	1	English	DELETE
80001537-n	śarīra	KEEP	None	None	None	KEEP
00224651-v	memudar	KEEP	O	None	None	KEEP
04417809-n	teater	KEEP	O	2	Portuguese, Polish	KEEP
80001040-n	Topshop	DELETE	None	None	None	KEEP
05687338-n	masalah	KEEP	Y	1	Portuguese	KEEP
00751567-v	memerlukan	DELETE	Y	2	Mandarin Chinese, Thai	KEEP
13988224-n	pencerahan	KEEP	O	2	English, Japanese	KEEP
01083769-v	menenggak	DELETE	O	2	English, Thai	KEEP
02002470-a	terbatasi	KEEP	None	None	None	KEEP
01367651-a	bersuka ria	KEEP	None	None	None	KEEP
09587565-n	karakter	KEEP	None	1	English	KEEP
00725274-v	mengherankan	KEEP	O	3	Portuguese, English, Slovene	KEEP
00524682-v	membutuhkan	DELETE	O	1	Finnish	KEEP
00865848-a	terpesona	KEEP	O	None	None	KEEP
06748466-n	acara	KEEP	O	1	Portuguese	KEEP
00755745-v	perlukan	KEEP	X	1	Spanish	KEEP
90000192-n	arab street	KEEP	None	None	None	KEEP
07452074-n	pernikahan	KEEP	Y	8	Slovene, Japanese, Greek, Finnish, Thai, Arabic, Portuguese, English	KEEP
08166552-n	negeri	KEEP	O	1	English	KEEP
00019339-r	seringkali	KEEP	X	1	Japanese	KEEP
14526182-n	adrenalin	KEEP	None	1	English	KEEP
02396720-a	kelezatan	KEEP	O	None	None	KEEP
02696503-v	menjulang	KEEP	O	1	Finnish	KEEP
00467122-n	paintball	KEEP	None	None	None	KEEP
00447472-a	sebelah	KEEP	O	None	None	KEEP
00221627-a	seperti raksasa	KEEP	X	None	None	KEEP
00833546-v	memperbarui	KEEP	None	1	Slovene	KEEP
00178793-r	yang sangat bagus	KEEP	X	None	None	KEEP
00639849-v	memperoleh	DELETE	O	1	English	DELETE
02096167-v	berpulas	DELETE	None	4	Portuguese, Finnish, Thai, Japanese	KEEP
03405595-n	perhiasan	KEEP	O	None	None	KEEP
00495377-r	mana	KEEP	None	None	None	KEEP
02068476-a	sama	KEEP	O	None	None	KEEP
08507558-n	pada awalnya	KEEP	X	2	Portuguese, Spanish	KEEP
01749320-a	sempurna	KEEP	Y	2	Polish, Japanese	KEEP
02394183-v	menimbuni	DELETE	O	1	English	DELETE
04546855-n	tembok	KEEP	Y	1	English	KEEP
00071840-r	tentang	DELETE	O	1	English	KEEP
01192312-v	cobalah	KEEP	None	1	Finnish	KEEP
07639855-n	gorengan	KEEP	O	None	None	KEEP
00453726-a	berpakaian	KEEP	O	None	None	KEEP
00164201-v	direnovasi	KEEP	X	None	None	KEEP
01930482-v	memasukkan	DELETE	O	1	English	DELETE
10541229-n	penguasa	KEEP	Y	1	English	KEEP
01384730-a	amat besar	KEEP	X	None	None	KEEP
01849221-v	mari	KEEP	O	2	Finnish, English	KEEP
02329413-v	loket	KEEP	None	1	English	KEEP
00219641-r	jungkir balik	KEEP	None	None	None	KEEP
01358363-a	menggoda	KEEP	O	None	None	KEEP
01173933-v	makan dgn gelojoh	DELETE	X	1	English	DELETE
00887463-v	didedikasikan	KEEP	None	1	Serbo-Croatian	KEEP
02186750-a	lima	KEEP	O	None	None	KEEP
00770437-v	membawa	DELETE	O	1	English	DELETE
01663749-v	baked	KEEP	None	None	None	KEEP
00173338-v	membawa	DELETE	O	1	Serbo-Croatian	KEEP
00022686-v	menggugah	KEEP	O	1	English	DELETE
02075857-v	melakukan	DELETE	O	1	Slovene	KEEP
00755745-v	mempersilakan	DELETE	O	1	Spanish	KEEP
05982152-n	tujuan	KEEP	Y	5	Spanish, Polish, Japanese, Portuguese, English	KEEP
04088797-n	wahana	KEEP	None	1	Finnish	KEEP
13744521-n	5	KEEP	None	1	English	KEEP
02236624-v	menerima masuk	DELETE	X	1	Finnish	KEEP
00933599-a	mahal	KEEP	O	None	None	KEEP
02022162-v	menjadikan	KEEP	O	None	None	KEEP
02701002-n	ambulan	KEEP	None	8	Slovene, Polish, Japanese, Greek, Finnish, Thai, Portuguese, English	KEEP
08512259-n	batas	KEEP	O	6	Slovene, Spanish, Polish, Japanese, Finnish, Portuguese	KEEP
02687916-v	melingkupi	KEEP	O	1	Japanese	KEEP
08593262-n	talian	DELETE	None	1	Portuguese	KEEP
02189306-a	30	KEEP	None	None	None	KEEP
07309599-n	kali	KEEP	Y	1	English	KEEP
12143676-n	jagung	KEEP	Y	7	Slovene, Japanese, Greek, Finnish, Thai, Portuguese, English	KEEP
02261386-a	encer	KEEP	Y	1	Polish	KEEP
01028748-v	menyebut	KEEP	O	1	English	DELETE
00379440-v	panggangan	KEEP	None	None	None	KEEP
14435670-n	raja	KEEP	O	2	Finnish, English	KEEP
77000019-n	kalian	KEEP	None	None	None	KEEP
02275412-a	kuat	KEEP	O	None	None	KEEP
09335240-n	tanah	KEEP	O	3	Portuguese, Spanish, English	KEEP
08178547-n	negara	KEEP	O	2	Portuguese, Spanish	KEEP
07557434-n	santapan	KEEP	Y	1	Thai	KEEP
01158872-v	menggunakan	KEEP	O	6	Spanish, Japanese, Greek, Finnish, Portuguese, English	KEEP
15203791-n	2011	KEEP	None	2	Portuguese, Spanish	KEEP
00759944-v	berdoa	KEEP	Y	6	Slovene, Japanese, Greek, Finnish, Portuguese, English	KEEP
02446651-a	empuk	KEEP	Y	1	Polish	KEEP
07680932-n	mantau	KEEP	None	1	Mandarin Chinese	KEEP
08441203-n	hukum	KEEP	O	1	Japanese	KEEP
02202384-v	menyimpan	KEEP	Y	1	Mandarin Chinese	KEEP
07663592-n	sapi	KEEP	Y	1	Thai	KEEP
13654777-n	gelang rantai	KEEP	O	1	English	KEEP
02488641-v	singgahlah	KEEP	None	None	None	KEEP
13745086-n	8	KEEP	None	None	None	KEEP
90000204-n	Jian Dui	KEEP	None	None	None	KEEP
01477806-a	wanita	KEEP	O	2	Slovene, Greek	KEEP
02342899-a	pilihan	KEEP	O	None	None	KEEP
01617192-v	menghasilkan	KEEP	L	1	Finnish	KEEP
14076479-n	wabah	KEEP	O	1	Portuguese	KEEP
07721456-n	chilli	KEEP	None	4	Greek, Finnish, English, Thai	KEEP
15169759-n	malam	KEEP	O	1	Finnish	KEEP
11410625-n	hasil	KEEP	O	1	Portuguese	KEEP
80001052-n	smrt	KEEP	None	None	None	KEEP
02110082-v	menghadapi	KEEP	O	1	Finnish	KEEP
01151110-v	membutuhkan	DELETE	O	1	Finnish	KEEP
00882702-n	rasa	KEEP	O	3	Greek, English, Japanese	KEEP
00025290-r	mana-mana	KEEP	None	None	None	KEEP
00284798-n	jalan	KEEP	Y	1	Spanish	KEEP
02637592-v	tinggal	KEEP	O	1	Slovene	KEEP
10175090-n	Yang Mulia	KEEP	None	None	None	KEEP
90000025-n	Dewa Subrahmanya	KEEP	None	None	None	KEEP
11508382-n	seputih	KEEP	None	1	English	KEEP
00679147-a	rusak	KEEP	O	None	None	KEEP
02200686-v	menyajikan	KEEP	O	1	Serbo-Croatian	KEEP
01151110-v	makan	DELETE	O	1	Finnish	KEEP
00173338-v	mengalihkan	DELETE	O	1	Serbo-Croatian	KEEP
03499796-n	oase	KEEP	L	1	Finnish	KEEP
13873917-n	lingkaran	KEEP	O	1	Polish	KEEP
00118965-r	pernah	KEEP	O	1	Japanese	KEEP
01111570-v	kembali ke	DELETE	X	1	Spanish	KEEP
09989502-n	penari	KEEP	O	1	Portuguese	KEEP
00403092-n	merugikan	KEEP	O	1	Portuguese	KEEP
01307571-a	gaul	KEEP	None	None	None	KEEP
02054989-v	menjulurkan	KEEP	O	1	Finnish	KEEP
00074201-r	balik	KEEP	O	1	English	KEEP
02609203-v	mulai	KEEP	O	1	Slovene	KEEP
15203791-n	60 tahun	KEEP	None	2	Portuguese, Spanish	KEEP
00240938-n	instalasi	KEEP	L	1	English	KEEP
14480065-n	fasa	DELETE	None	1	English	KEEP
00455750-v	melengkapi	KEEP	O	4	Portuguese, Finnish, English, Slovene	KEEP
02526085-v	jayakan	DELETE	X	1	Spanish	KEEP
00523513-n	raga	KEEP	None	2	Finnish, English	KEEP
02655135-v	terletak	KEEP	O	1	Finnish	KEEP
01999798-v	jadi	DELETE	O	2	Portuguese, Spanish	KEEP
00021878-r	terkadang	KEEP	Y	3	Finnish, English, Japanese	KEEP
05217168-n	jasmani	KEEP	O	1	Portuguese	KEEP
00053952-r	mungkin	KEEP	O	3	Portuguese, Slovene, Japanese	KEEP
01984695-n	crayfish	KEEP	None	None	None	KEEP
02321009-a	kuat	KEEP	O	6	Spanish, Japanese, Finnish, Thai, Portuguese, English	KEEP
01518860-a	perang	KEEP	O	None	None	KEEP
01156834-v	jadi	DELETE	O	1	English	DELETE
05134547-n	kedalaman	KEEP	O	9	Slovene, Spanish, Polish, Japanese, Greek, Finnish, Thai, Portuguese, English	KEEP
02621395-v	menjadikan	KEEP	O	1	Finnish	KEEP
15236859-n	musim gugur	KEEP	O	1	English	KEEP
00249736-r	di atas	DELETE	None	None	None	KEEP
02948072-n	lilin	KEEP	Y	2	Portuguese, Polish	KEEP
07588193-n	sup pangsit	KEEP	X	2	English, Japanese	KEEP
00071840-r	sekitar	KEEP	O	1	English	KEEP
02529264-a	hangat	KEEP	Y	5	Polish, Japanese, Finnish, English, Serbo-Croatian	KEEP
02103162-v	tarik	KEEP	O	1	English	DELETE
08630039-n	rantau	DELETE	O	2	Portuguese, Spanish	KEEP
03484083-n	dorong	KEEP	None	1	Spanish	KEEP
07812184-n	bumbu rempah	KEEP	X	4	Portuguese, Finnish, Serbo-Croatian, Slovene	KEEP
00079947-r	di atas	KEEP	None	1	Japanese	KEEP
01003277-a	selesai	KEEP	O	None	None	KEEP
02843276-n	sangkar burung	KEEP	X	None	None	KEEP
00022131-r	sama	KEEP	O	1	English	KEEP
03017922-a	eksekutif	KEEP	O	None	None	KEEP
00542099-a	tersebar	KEEP	L	None	None	KEEP
01512465-v	lemparkan	KEEP	X	2	Spanish, Finnish	KEEP
02924102-a	buddha	KEEP	None	1	Finnish	KEEP
01358695-a	menggoda	KEEP	O	None	None	KEEP
01422556-a	live	KEEP	None	1	English	KEEP
05405751-n	keringat	KEEP	Y	8	Spanish, Polish, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
01728919-a	lampau	KEEP	O	None	None	KEEP
90000187-n	rumah makan minang	KEEP	None	None	None	KEEP
02236124-v	mengalami	DELETE	O	1	English	DELETE
02333689-v	menempatkan	KEEP	O	1	English	DELETE
09334396-n	darat	KEEP	Y	3	Portuguese, Spanish, English	KEEP
00756076-v	membawa	DELETE	O	1	Finnish	KEEP
00720063-v	menantikan	KEEP	O	2	Portuguese, Slovene	KEEP
00921014-a	semarak	KEEP	None	None	None	KEEP
01418667-v	mengarun	DELETE	O	5	Spanish, Japanese, Finnish, Portuguese, English	KEEP
02240481-v	cari	KEEP	O	1	Portuguese	KEEP
07343910-n	matahari terbit	KEEP	X	None	None	KEEP
01654628-v	menghasilkan	KEEP	O	1	Slovene	KEEP
08430568-n	garisan	DELETE	None	1	Spanish	KEEP
09184136-n	nurani	KEEP	None	1	Finnish	KEEP
13761407-n	sedikit	KEEP	None	1	Spanish	KEEP
02526085-v	melaksanakan	DELETE	Y	1	Spanish	KEEP
13841651-n	kaitan	KEEP	Y	5	Spanish, Polish, Finnish, Portuguese, English	KEEP
02614181-v	wujud	DELETE	O	1	Finnish	KEEP
00173338-v	mengubah	DELETE	O	1	Serbo-Croatian	KEEP
03417345-n	suzhou	KEEP	None	None	None	KEEP
02210855-v	mendapatkan	KEEP	O	1	English	DELETE
10099375-n	umat	KEEP	Y	1	Finnish	KEEP
02427103-v	berdiri	KEEP	L	1	Slovene	KEEP
08593924-n	jalur	DELETE	O	1	Portuguese	KEEP
01378556-v	tersiar	KEEP	O	3	Portuguese, Finnish, English	KEEP
00770437-v	menimbulkan	DELETE	O	1	English	DELETE
80000289-n	otak	KEEP	None	None	None	KEEP
02655135-v	adalah	KEEP	L	1	Finnish	KEEP
01998432-v	ikut	KEEP	O	None	None	KEEP
08173289-n	amerika selatan	KEEP	X	None	None	KEEP
02526085-v	capai	KEEP	Y	1	Spanish	KEEP
00035385-r	jarang	KEEP	O	3	Portuguese, Finnish, English	KEEP
02623906-v	membentuk	DELETE	O	1	English	DELETE
08588294-n	interior	KEEP	None	1	Polish	KEEP
00021939-n	artefak	KEEP	O	2	Portuguese, English	KEEP
14407899-n	daya pikat	KEEP	X	None	None	KEEP
02169702-v	terdengar	KEEP	X	1	Portuguese	KEEP
02208537-v	makan	DELETE	O	2	Finnish, Japanese	KEEP
76100097-x	urat	KEEP	None	None	None	KEEP
05869584-n	seluruh	KEEP	L	1	Spanish	KEEP
02270186-a	tiap	KEEP	L	None	None	KEEP
01855606-v	pindah	KEEP	Y	5	Japanese, Finnish, Portuguese, Mandarin Chinese, English	KEEP
01181295-v	disuguhkan	KEEP	None	1	English	KEEP
07644967-n	daging ayam	KEEP	X	1	English	KEEP
01264283-v	melapisi	KEEP	O	1	English	DELETE
09847727-n	penganut	KEEP	O	1	Greek	KEEP
01111570-v	kembali ke	KEEP	X	1	Spanish	KEEP
02599636-v	mengetuai	DELETE	O	1	Portuguese	KEEP
00085002-r	tempat lain	KEEP	X	None	None	KEEP
04358707-n	supermarket	KEEP	O	None	None	KEEP
00024073-r	don’t	KEEP	None	1	Portuguese	KEEP
00098625-n	layanan	KEEP	O	1	Arabic	KEEP
02402825-v	membuang	DELETE	Y	1	Spanish	KEEP
08726305-n	sichuan	KEEP	None	None	None	KEEP
08430568-n	barisan	KEEP	O	1	Spanish	KEEP
06615561-n	atraksi	KEEP	O	None	None	KEEP
00150287-v	menyesuaikan	KEEP	O	1	Slovene	KEEP
07371293-n	suara	KEEP	O	1	English	KEEP
00017881-r	seperti	KEEP	None	None	None	KEEP
02787435-n	pernak-pernik	KEEP	O	None	None	KEEP
02189396-a	31	KEEP	None	None	None	KEEP
10426749-n	fotografer	KEEP	O	4	Portuguese, Finnish, English, Thai	KEEP
80000200-n	bukit timah	KEEP	None	None	None	KEEP
90000165-n	Tanjong Pagar	KEEP	None	None	None	KEEP
00808191-a	dinamis	KEEP	Y	None	None	KEEP
00799076-v	mereguk	DELETE	O	2	Finnish, English	KEEP
90000080-n	peranakan trail	KEEP	None	None	None	KEEP
01599445-a	lazim	DELETE	O	1	English	KEEP
15136453-n	sehari	KEEP	O	1	Arabic	KEEP
04714440-n	ketidaksesuaian	KEEP	None	None	None	KEEP
01193099-v	muak	DELETE	O	1	Slovene	KEEP
01511292-a	mendalam	KEEP	L	None	None	KEEP
09813126-n	artis	KEEP	O	2	Portuguese, Slovene	KEEP
00953127-a	dalam rumah	DELETE	X	None	None	KEEP
00477284-a	nyaman	KEEP	None	None	None	KEEP
07495327-n	derita	KEEP	O	3	Portuguese, Polish, Japanese	KEEP
04674968-n	warna	KEEP	Y	1	English	KEEP
00520892-a	mutlak	KEEP	O	None	None	KEEP
00444519-a	dekat	KEEP	Y	3	Portuguese, Finnish, Polish	KEEP
06477371-n	card	KEEP	None	1	Polish	KEEP
10700517-n	penduduk	KEEP	O	1	Finnish	KEEP
02248693-a	etnik	KEEP	Y	None	None	KEEP
01996377-a	bertanggung jawab	KEEP	None	7	Slovene, Spanish, Polish, Greek, Thai, Portuguese, English	KEEP
07770289-n	pare	KEEP	O	None	None	KEEP
09604451-n	holmes	KEEP	None	None	None	KEEP
00341917-v	mendatang	KEEP	L	2	Finnish, English	KEEP
90000001-n	action party	KEEP	None	None	None	KEEP
01099536-a	tertentu	KEEP	Y	None	None	KEEP
01443097-a	sesaat	KEEP	O	None	None	KEEP
09885334-n	penonton	KEEP	O	None	None	KEEP
09241247-n	selat	KEEP	O	3	Portuguese, Spanish, Slovene	KEEP
06500937-n	paspor	KEEP	None	7	Spanish, Polish, Japanese, Finnish, Thai, Portuguese, English	KEEP
10077879-n	penggemar	KEEP	O	None	None	KEEP
05101815-n	diameter	KEEP	O	None	None	KEEP
14438788-n	nama	KEEP	O	1	Finnish	KEEP
03025755-n	sumpit	KEEP	None	5	Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
03365991-n	tingkat	KEEP	Y	1	Spanish	KEEP
01000214-v	mencatat	KEEP	O	1	English	DELETE
15098161-n	kayu	KEEP	Y	1	English	KEEP
00406243-v	bersiaplah	KEEP	X	1	Finnish	KEEP
00080169-r	di atas	KEEP	None	1	English	KEEP
00001837-r	m	KEEP	None	1	Mandarin Chinese	KEEP
03671473-n	garisan	DELETE	None	1	Polish	KEEP
07414068-n	ledakan	KEEP	O	3	Slovene, English, Japanese	KEEP
00851744-a	berhak	KEEP	None	None	None	KEEP
01999798-v	membutuhkan	DELETE	O	2	Portuguese, Spanish	KEEP
04990525-n	crescendo	KEEP	None	None	None	KEEP
06487395-n	kalender	KEEP	None	2	Portuguese, Slovene	KEEP
08227916-n	keluarga	KEEP	O	1	Slovene	KEEP
07996689-n	set	KEEP	Y	1	English	KEEP
00409440-a	gelap	KEEP	O	1	English	KEEP
01687586-a	inovatif	KEEP	L	None	None	KEEP
07856270-n	ulekan	KEEP	None	1	Polish	KEEP
01666131-v	diracik	KEEP	None	1	Finnish	KEEP
06744396-n	definisi	KEEP	Y	1	Slovene	KEEP
07797357-n	kakap merah	KEEP	None	None	None	KEEP
01567862-a	nasional	KEEP	O	1	English	KEEP
90000197-n	maxwell road hawker centre	KEEP	None	None	None	KEEP
00464513-a	masuk akal	KEEP	None	1	Finnish	KEEP
08938351-n	tours	KEEP	None	None	None	KEEP
02839695-a	profesional	KEEP	O	None	None	KEEP
01317723-v	mencari	KEEP	O	2	Portuguese, Spanish	KEEP
00582388-n	pekerjaan	KEEP	Y	1	Portuguese	KEEP
07792725-n	lobster	KEEP	O	None	None	KEEP
03485655-n	kerajinan	KEEP	L	2	Finnish, English	KEEP
01618693-v	diperkenalkan	KEEP	None	None	None	KEEP
00802318-v	mengizinkan	KEEP	Y	1	English	KEEP
01999798-v	menemani ke	DELETE	X	2	Portuguese, Spanish	KEEP
01197014-v	memakan	DELETE	O	1	Slovene	KEEP
01617192-v	buatan	DELETE	Y	1	Finnish	KEEP
00408660-a	muda	KEEP	O	1	English	KEEP
15122231-n	masa	KEEP	O	1	English	KEEP
13766733-n	segelas	KEEP	None	2	Greek, Polish	KEEP
00110533-r	ke dalam	DELETE	X	None	None	KEEP
00082081-v	membantu	KEEP	O	1	Finnish	KEEP
05840188-n	new asia	KEEP	None	1	Spanish	KEEP
00108647-r	kemari	KEEP	None	2	Portuguese, English	KEEP
00282675-a	sutra	KEEP	None	None	None	KEEP
02375131-v	beraktivitas	KEEP	None	1	Slovene	KEEP
04559994-n	hazard	KEEP	None	None	None	KEEP
01158181-v	membelanjakan	DELETE	Y	1	Finnish	KEEP
90000110-n	the club	KEEP	None	None	None	KEEP
02561995-v	aktiviti	DELETE	None	1	English	KEEP
05892427-n	persyaratan	KEEP	None	4	Portuguese, Finnish, English, Japanese	KEEP
15167349-n	malam hari	KEEP	None	1	Finnish	KEEP
05839024-n	rupa bentuk	DELETE	None	1	Spanish	KEEP
00972642-a	baru	KEEP	None	None	None	KEEP
00607780-v	teringat	KEEP	O	1	Finnish	KEEP
01102876-a	meluas	KEEP	O	None	None	KEEP
01348528-a	penting	KEEP	O	None	None	KEEP
01959985-n	kerang	KEEP	O	None	None	KEEP
00197395-r	dengan senang hati	KEEP	X	None	None	KEEP
02594674-v	menemui	KEEP	O	1	English	DELETE
90000193-n	char siew	KEEP	None	None	None	KEEP
07578093-n	pesta	KEEP	O	3	Portuguese, Finnish, English	KEEP
07823951-n	curry	KEEP	None	3	Portuguese, English, Japanese	KEEP
01292683-a	menyukai	KEEP	O	None	None	KEEP
00457998-v	mengentalkan	KEEP	O	None	None	KEEP
07355491-n	wafat	KEEP	None	2	Portuguese, Spanish	KEEP
01955984-v	naik	KEEP	Y	1	Finnish	KEEP
03428477-n	gerbang	KEEP	Y	1	Portuguese	KEEP
07623933-n	tar	KEEP	L	5	Polish, Japanese, Greek, Finnish, English	KEEP
05933834-n	latar belakang	KEEP	O	1	Spanish	KEEP
00011093-r	baik	KEEP	O	1	Japanese	KEEP
00431552-n	minat	KEEP	Y	2	Slovene, Japanese	KEEP
00594621-v	tahu	KEEP	O	1	Arabic	KEEP
09812338-n	seniman	KEEP	Y	2	Slovene, Japanese	KEEP
02581900-v	dituntut	KEEP	None	1	Slovene	KEEP
03610270-n	suvenir	KEEP	Y	2	Spanish, English	KEEP
05839024-n	jenis	KEEP	O	1	Spanish	KEEP
02370987-v	berurusan	KEEP	O	1	Finnish	KEEP
00395626-a	menjadi merah	DELETE	X	None	None	KEEP
90000128-n	Ensembel Tari	KEEP	None	None	None	KEEP
01156834-v	membawa	DELETE	O	1	English	DELETE
01815185-v	menenangkan	KEEP	O	2	Portuguese, Finnish	KEEP
03479952-n	ruang masuk	KEEP	O	5	Slovene, Japanese, Finnish, Portuguese, Mandarin Chinese	KEEP
00312691-n	jalan	KEEP	O	1	Spanish	KEEP
00595630-v	mengetahui	KEEP	Y	1	Arabic	KEEP
07571324-n	masakan	KEEP	O	3	Portuguese, Spanish, Polish	KEEP
02346895-v	menerapkan	KEEP	None	1	Slovene	KEEP
01546111-v	berdiri	KEEP	Y	1	Portuguese	KEEP
06647206-n	rekaman	KEEP	O	1	Greek	KEEP
01593649-a	yang biasa	KEEP	X	1	English	KEEP
01638962-a	purba	KEEP	O	None	None	KEEP
15205532-n	berabad-abad	KEEP	Y	1	Polish	KEEP
05651971-n	indera	KEEP	None	2	Portuguese, English	KEEP
02568672-v	latih	DELETE	O	1	English	DELETE
01129977-a	baik	KEEP	O	1	English	KEEP
08226335-n	pura	KEEP	None	1	Portuguese	KEEP
90000230-n	makanan khas singapura	KEEP	None	None	None	KEEP
00813790-v	menyederhanakan	DELETE	O	1	Finnish	KEEP
10230736-n	anak	KEEP	O	None	None	KEEP
15201994-n	akhir tahun	KEEP	X	None	None	KEEP
00221985-r	balik	KEEP	None	2	Spanish, English	KEEP
02426395-v	tutup	KEEP	O	1	Spanish	KEEP
02209745-v	meluwengkan	DELETE	O	1	Finnish	KEEP
02616386-v	jadilah	KEEP	None	1	Finnish	KEEP
08646902-n	pemandangan	KEEP	Y	4	Portuguese, Finnish, English, Spanish	KEEP
02665282-v	menyerupai	KEEP	Y	1	Slovene	KEEP
08507558-n	muasal	KEEP	Y	2	Portuguese, Spanish	KEEP
01403760-a	tidak sah	KEEP	X	None	None	KEEP
02065665-a	assorted	KEEP	None	None	None	KEEP
02872776-a	multikultural	KEEP	None	2	Finnish, English	KEEP
01156834-v	meluwengkan	DELETE	O	1	English	DELETE
02250625-v	mengganti kerugian	KEEP	X	1	Portuguese	KEEP
01103844-a	dikhususkan	KEEP	None	None	None	KEEP
00072329-r	di sekitar	KEEP	X	1	English	KEEP
05302499-n	mulut	KEEP	Y	1	Portuguese	KEEP
01930482-v	membawa	DELETE	O	1	English	DELETE
00118965-r	dulu	KEEP	O	1	Japanese	KEEP
06517942-n	bon	KEEP	O	1	Finnish	KEEP
02096167-v	menyimpang	DELETE	Y	4	Portuguese, Finnish, Thai, Japanese	KEEP
08624385-n	tempat tugas	DELETE	X	1	English	KEEP
06303888-n	istilah	KEEP	Y	1	Arabic	KEEP
14474556-n	daya	KEEP	O	1	Slovene	KEEP
00976653-v	mempromosikan	KEEP	Y	1	Arabic	KEEP
01013279-a	terakhir	KEEP	O	2	Finnish, English	KEEP
02162947-v	berkilauan	KEEP	O	None	None	KEEP
01326528-v	melumatkan	DELETE	O	1	Finnish	KEEP
01202415-n	integrasi	KEEP	Y	1	English	KEEP
00668805-v	reguk	DELETE	O	3	Slovene, Finnish, English	KEEP
01168468-v	menyekang perut	DELETE	O	1	English	DELETE
00466651-v	memadukan	KEEP	O	1	Finnish	KEEP
02020590-v	mendarat	DELETE	O	2	Spanish, Finnish	KEEP
07560652-n	citarasa	KEEP	None	1	Spanish	KEEP
00099951-n	ilusi	KEEP	Y	1	English	KEEP
02370083-a	segar	KEEP	O	None	None	KEEP
02437707-v	terpenuhi	KEEP	None	2	Portuguese, Finnish	KEEP
90000144-n	vinayagar	KEEP	None	None	None	KEEP
07926250-n	limun	KEEP	M	6	Polish, Japanese, Greek, Finnish, Portuguese, English	KEEP
14002279-n	keseimbangan	KEEP	Y	1	English	KEEP
15210486-n	februari	KEEP	O	8	Spanish, Polish, Greek, Finnish, Thai, Portuguese, Mandarin Chinese, English	KEEP
10153414-n	orang	DELETE	O	1	Spanish	KEEP
07842753-n	omelet	KEEP	X	None	None	KEEP
08594286-n	baris	DELETE	O	1	Arabic	KEEP
02767308-v	mengeluarkan	KEEP	O	1	Mandarin Chinese	KEEP
07196075-n	wawancara	KEEP	O	4	Portuguese, Greek, Finnish, English	KEEP
00683280-v	percayalah	KEEP	X	1	Portuguese	KEEP
01982395-v	mengambil	DELETE	O	1	Finnish	KEEP
01856066-a	dasar	KEEP	O	None	None	KEEP
02664769-v	sederajat	DELETE	None	1	Finnish	KEEP
01843380-a	sajikan	KEEP	None	1	Spanish	KEEP
00336831-a	pastilah	KEEP	X	1	Finnish	KEEP
02343110-a	lezat	KEEP	None	None	None	KEEP
00542359-a	tipis	KEEP	O	None	None	KEEP
01999798-v	menghulukan	DELETE	O	2	Portuguese, Spanish	KEEP
10502576-n	pembalap	KEEP	O	None	None	KEEP
00065639-v	menahan kesengsaraan	DELETE	X	1	English	DELETE
80001269-v	tiada	KEEP	None	None	None	KEEP
02075857-v	jadi	DELETE	O	1	Slovene	KEEP
09877750-n	inggris	KEEP	None	None	None	KEEP
00908492-n	kreasi	KEEP	O	1	Japanese	KEEP
00180279-r	perlahan	KEEP	O	None	None	KEEP
01037885-a	internasional	KEEP	O	None	None	KEEP
05216365-n	badan	KEEP	Y	1	English	KEEP
08168978-n	republik	KEEP	Y	1	Spanish	KEEP
02733524-n	gerbang	KEEP	O	2	Portuguese, Polish	KEEP
00015388-n	mahluk	KEEP	None	1	English	KEEP
