Indonesian	Arabic	Croatian	Thai	Slovene	Finnish	Portuguese	Japanese	Polish	Greek 	Chinese 	English 	Spanish 
memecahkan segel yang	None	None	None	odprlo	None	None	None	None	None	None	None	None
memecahkan segel	None	None	None	odprlo	None	None	None	pieczęć	None	印	None	None
memerintahkan kepada	None	None	None	zapove	None	None	None	None	None	None	None	None
memerintahkan supaya	None	None	None	ukaže	None	confiamos	None	None	None	None	None	None
memerlukan keahlian	None	None	None	umetnine	teoksia	None	None	None	None	None	None	None
memikat	None	None	None	dobrika	None	None	None	None	κολακευουσης	None	with their tongue	None
memimpin tentara	None	None	None	vodil	saatoit	None	None	None	None	率領	None	None
meminta petunjuk kepada	None	None	None	vpraševat	None	None	None	None	None	None	None	None
meminta petunjuk	None	None	None	vpraševat	None	None	None	None	None	戶勒大	None	None
memotongnya	None	None	None	koljejo	None	None	None	None	εσφαξαν	宰了	move	degollaron
mempedulikan perkataan	None	None	None	slušal	None	None	None	None	None	None	None	None
mempelai	None	None	None	ženin	None	noivo	None	None	None	None	bridegroom	None
memperingatkan orang	None	None	None	posvariš	varoitat	None	None	None	None	None	None	None
mempermainkan	None	None	None	norčeval	None	zombaste de	None	None	ενεπαιξαν	向 我 說	they had mocked	burlado de
mempertahankan	None	None	None	ohraniti	pelastaa	salvar a	None	zachować	σωση την	們 所 生 的	save his	None
mempunyai gembala	None	None	None	pastirja	None	None	None	None	None	None	None	None
mempunyai pemimpin	None	None	None	gospodarja	None	None	None	None	εχουσι	None	None	None
memungut	None	None	None	pobira	None	None	None	zbieram	None	拾起	None	recogió
menaikkan	None	None	None	povišal	None	None	None	None	None	None	None	None
menamakan	None	None	None	imenoval	nimitti	chamou ao	None	i nazwał imię	εκαλεσε το	起 名	named	llamó el
menambal	None	None	None	zaplate	pane	None	None	łaty	None	把 新	None	None
menandatangani	None	None	None	podpisal	None	None	None	None	None	禁	signed	firmado
menanggalkan	None	None	None	sleče	riisui	None	None	None	None	None	stripped	None
menarik undi	None	None	None	žrebali	None	None	None	None	None	None	None	None
mencambuk	None	None	None	bičati	None	None	None	None	None	鞭打 了	therefore chastise	None
mencari Aku	None	None	None	iskali	None	None	None	None	None	找我	None	buscaréis
mencari Elia	None	None	None	iščejo	None	None	None	None	None	None	None	None
menceritakan lagi	None	None	None	Drugo	None	None	None	None	None	None	None	None
menceritakan	None	None	None	pove	kertoivat	contou	None	None	διηγηθη	None	told	contaron
mencintai dirimu	None	None	None	samega	None	None	None	None	None	None	None	None
mencurinya	None	None	None	kradejo	None	roubam	None	None	κλεπτουσιν	偷	steal	None
mendampingi	None	None	None	bil z	None	None	None	None	None	None	was with	None
mendapat istirahat bersama	None	None	None	pokoj	None	None	None	odpocznienia	None	安息	None	None
mendengarkan mereka	None	None	None	poslušaj	None	None	None	wysłuchaj	επακουσον	None	None	None
menderita kesusahan	None	None	None	stiska	None	None	None	None	None	None	None	None
mendidih	None	None	None	vre	None	ferver	None	None	None	None	to boil	None
menebusnya	None	None	None	odkupi	None	None	None	None	εξαγοραση	贖回	redeemed	None
menembakkan	None	None	None	ustreli	None	lançará nela	None	None	θελει τοξευσει	射 出	shoot	None
menemukannya	None	None	None	najdejo	löytäneet	acharão	None	None	ευρηκαν	找 著	found it	None
menengok	None	None	None	doli obiskat Jorama	None	olharam	None	None	None	None	None	ver a Joram hijo de
menerima panggilan	None	None	None	poklican	None	None	None	None	None	None	None	None
mengabdi kepada	None	None	None	služiti	None	None	None	None	None	None	None	None
mengacungkan	None	None	None	iztegne	ojensi	None	None	None	None	便 伸	stretched	extendió su
mengagumkan	None	None	None	čuda	ihmislapsia	meditarei	None	None	θαυμασια	None	wonderful	maravillas
mengagungkan	None	None	None	oslavil	kunnioitan	None	None	None	None	None	will magnify	None
mengajar orang	None	None	None	učitelj	None	ensinar	None	None	None	教導	None	None
mengancam	None	None	None	pretenje	uhannut	ameaças	None	None	None	None	pronounced	amenazas
menganggap dirinya sudah baik	None	None	None	pravičnih	None	None	None	None	None	None	None	None
mengangkat kedua	None	None	None	razprostre	None	None	None	None	None	None	None	None
menganjurkan supaya	None	None	None	Pogodite	None	None	None	None	None	None	None	None
mengasah	None	None	None	zna	kiinnittämään	None	None	rzezania	None	能 刻	cutting	el tallado de
mengasihani	None	None	None	usmili	armahtaa	None	None	None	ελεησει τον	憐憫	spare	tenga compasión
mengasihi dirimu	None	None	None	samega	itseäsi	None	None	None	None	None	None	None
mengatakan kepada	None	None	None	porečeš	sanoa	None	None	None	None	None	None	None
mengawini	None	None	None	vzeli	ottaneet	None	None	pojął	δια γυναικα	None	marrying	None
mengayunkan	None	None	None	vrže	None	None	None	None	None	None	thrust his	None
mengenai	None	None	None	o	on kerrottavaa	dos atos de	None	sprawy	πραξεις	None	the acts	hechos
mengendarai	None	None	None	sedeč na	ajaen	Montou num	None	None	None	None	was riding	None
mengerahkan	None	None	None	prešteje	katsasti	convocou	None	None	None	招聚	None	convocó
mengeringkan	None	None	None	posušil	kuivasi	None	None	None	None	None	dry up	None
mengetahuinya	None	None	None	ve	None	None	None	None	None	None	None	sabéis
menggerakkan	None	None	None	obudil	herätti	None	None	None	None	None	stirred	despertó
menggetarkan	None	None	None	tresli	None	None	None	None	None	None	shake	None
menggoda	None	None	None	oskrunja	None	None	None	zmazał	None	None	tempted	None
menghadap	None	None	None	h	None	None	None	None	None	None	None	None
menghajar	None	None	None	nasprotovati	None	None	None	None	None	None	walk contrary	None
menghindar apabila	None	None	None	Razumni	Mielevä	None	None	None	None	受害	None	None
menghujat	None	None	None	kletvino	None	None	None	None	None	說 僭	blasphemy	blasfemia
mengingatkan	None	None	None	spominjate	muistuttaa	None	None	None	None	題 醒	remind	recordar
mengingkari perjanjian	None	None	None	prelomili	None	None	None	None	None	None	None	None
menguburkan orang	None	None	None	pokopavajo	haudata	None	None	grzebią	None	None	None	None
mengucapkan nubuat	None	None	None	poprime	None	None	None	None	None	None	None	None
mengucapkannya	None	None	None	Bog tvoj	sanoista	None	None	None	None	None	lift	None
mengukir	None	None	None	izrezavati	None	None	None	wyrobienie	σκαλιζη	None	carving of	tallado de
mengurus	None	None	None	razšel	Valvo	None	None	None	None	None	None	None
menjadi budak	None	None	None	suženj	orjana	None	None	sługą	None	None	None	None
menjadi hamba	None	None	None	sužnjevali	None	None	None	None	None	None	None	Siervos
menjadi kering	None	None	None	sahne	murehtii	None	None	usycha	None	None	None	None
menjadi marah	None	None	None	razsrdi	None	None	None	None	None	None	None	None
menjadi tumpul	None	None	None	okamenelo	None	None	None	None	None	None	None	None
menjadi yang terakhir	None	None	None	zadnji	None	últimos	None	ostatnimi	None	None	None	None
menjamahnya	None	None	None	položi nanjo	None	None	None	None	None	None	None	None
menjawab doanya	None	None	None	odgovoril	None	None	None	None	None	None	None	None
menjawabnya	None	None	None	odgovoril	vastannut	None	None	None	None	回答 他	answered him	None
menjebak	None	None	None	izkušajoč	kiusaten	None	None	None	παγιδευσωσιν	None	testing	probáis
menjemur	None	None	None	razprostirali	None	None	None	None	None	None	None	None
menolong engkau	None	None	None	pomagam	None	None	None	None	βοηθησει	None	None	None
menulisnya	None	None	None	napisal	kirjoitan	None	None	napisał	θελω γραψει	None	wrote them	escribió
menumpahkan	None	None	None	prelivali	None	derramaram	None	wylewali	None	None	shed	None
menunjukkan kepada	None	None	None	pokazal	näytti	None	None	ukazał	None	指示	None	mostró
menunjukkan kepadamu	None	None	None	pokažem	None	mostrará	None	None	δειξει	None	None	None
menuntut	None	None	None	zahteval	vaatinut	None	None	None	φορτια	None	None	None
menutupinya	None	None	None	pokrije	peittäkööt	None	None	None	None	None	covered him	None
menyadarinya	None	None	None	vest greh	rikkomuksensa	None	None	None	None	知不覺	aware	None
menyampaikan kepada	None	None	None	Govóri	None	None	None	None	None	None	None	None
menyebat	None	None	None	tepel	None	None	None	karał	πατηρ μου	子 責 打	chastised	None
menyeka	None	None	None	obriše	pyyhkivä	None	None	None	None	None	wipe	enjugará
menyelamatkan orang lain	None	None	None	pomagal	None	None	None	None	None	None	None	None
menyembah saya	None	None	None	storiš	None	None	None	None	None	None	None	None
menyembuhkan mereka	None	None	None	ozdravil	None	None	None	None	None	None	None	sanaré
menyembuhkan saya	None	None	None	očistiti	None	limpo	None	None	None	None	None	limpiarme
menyerbu	None	None	None	naskočili	None	None	None	wtargnie	None	侵	None	None
menyiapkan	None	None	None	pripravljali	None	prepararam	None	None	ητοιμασαν	豫 備	prepared	prepararon
menyimpan	None	None	None	posvečenih	None	trouxe Salomão	None	którą sprawił	None	心 將	None	None
menyingkir	None	None	None	umakne	None	None	None	None	None	None	None	None
menyoraki	None	None	None	veselé	None	None	None	ratunek	None	None	None	alegren de
meratap	None	None	None	jokali	valittavat	pranteará	None	narzekanie	πενθησει	悲哀	mourn	lamentación
merataplah	None	None	None	tulite	None	None	None	None	None	哀 號	wail	gemid
merayakan Paskah	None	None	None	velikonočno	None	None	None	None	None	None	None	None
merebut kembali	None	None	None	pridobil	None	None	None	None	None	None	None	None
mereka berdua	None	None	None	oba	None	None	None	None	None	None	None	None
mereka bertahan	None	None	None	obstoji	None	subsistirá	None	None	None	None	None	None
mereka mau mendengarkan	None	None	None	poslušajo	None	None	None	None	ακουσωσιν	None	None	None
mereka memanggil orang	None	None	None	pokličejo	None	None	None	None	None	None	None	None
mereka mendengar	None	None	None	slišijo	None	None	None	None	ηκουσεν	None	None	None
mereka mengutuki	None	None	None	preklinjali	pilkkasivat	None	None	bluźnili	None	None	None	None
mereka menyalibkan	None	None	None	križajo	None	None	None	None	None	None	None	None
mereka mulai	None	None	None	začno	None	None	None	None	None	None	None	None
merendahkan diri	None	None	None	ponižal	None	None	None	None	None	自卑	None	None
merusaknya	None	None	None	razjedata	None	None	None	psuje	αφανιζει	賊挖	None	corrompen
meskipun Ayub	None	None	None	Job	None	None	None	None	None	None	None	None
mesra sebagai saudara	None	None	None	poljubu	None	None	None	None	None	None	None	None
mesra	None	None	None	poljubu	None	ósculo	None	None	φιληματι αγιω	None	holy kiss	beso
mezbah bagi	None	None	None	oltar	None	None	None	ołtarz	None	None	None	None
mezbah itu	None	None	None	oltarja	None	None	None	None	None	壇	None	None
militer	None	None	None	posadko	None	guarnições	None	żołnierzem	None	None	None	militares
mimpi itu kepadaku	None	None	None	sanj	None	None	None	None	None	None	None	None
minta kepada	None	None	None	prosili	None	None	None	None	None	None	None	None
minum dari	None	None	None	piti	None	None	None	None	None	None	None	None
minyak itu	None	None	None	olje	öljy	ungiu	None	None	None	None	None	None
moyang kita terdapat ajaran seperti	None	None	None	rečeno	None	None	None	None	None	None	None	None
muatan	None	None	None	blago	None	afora	None	towary	None	貨物	None	None
mudah	None	None	None	Laže	helpompaa	rigor	None	łatwiej	ευκολωτερον	容易	tolerable	tolerable
mulai mengajar	None	None	None	uči	None	None	None	uczył	None	None	None	enseñaba
muslihat	None	None	None	zvijačo	None	enganos	None	chytrość	None	詭	None	None
nabi Ahab	None	None	None	prorokov	None	None	None	None	None	None	None	None
nabi palsu	None	None	None	lažiprorok	None	None	None	None	None	None	None	None
nabi wanita	None	None	None	prorokinja	None	None	None	None	None	None	None	None
naga itu	None	None	None	zmaja	None	dragão	None	None	None	龍	None	None
nampaknya	None	None	None	kaže	näyttää	parecer	None	None	οψιν	似 乎	appearance	parece
negeri Madai	None	None	None	Medov	Meedian	medos	None	None	Μηδων	None	None	None
negeri Ofir	None	None	None	Ofir	None	Ofir	None	Ofir	None	None	None	None
negeri Syeba itu menyerahkan kepada	None	None	None	dala	None	None	None	None	None	None	None	None
negeri Yudea	None	None	None	Judejskem	None	Judéia	None	Judzkiem	None	None	None	None
negerinya seluruhnya berjumlah	None	None	None	Ves	Koko	None	None	None	None	None	None	None
nenek moyang kita terdapat ajaran seperti	None	None	None	rečeno	None	None	None	None	None	None	None	None
nubuat ini	None	None	None	govor	None	None	None	None	None	歌說	None	None
nurani yang	None	None	None	vesti	None	None	None	None	None	None	None	None
oleh Abraham	None	None	None	Abrahamov	None	None	None	Abrahama	None	None	None	None
oleh Asa	None	None	None	Asovo	None	None	None	None	None	None	None	None
oleh Roh Allah	None	None	None	Duh	None	None	None	Duch	None	聖靈	None	None
oleh Roh	None	None	None	Duh	None	None	None	Duchem	None	None	None	None
oleh tabiat manusia	None	None	None	meseno	None	None	None	None	None	None	None	None
orang Efesus	None	None	None	Efežanov	None	None	None	None	None	None	None	None
orang Filistin	None	None	None	Filistejcem	filistealaisia	None	None	Filistynami	None	非利士人	None	None
orang Hewi	None	None	None	Hevejca	None	None	None	None	None	None	None	None
orang Refaim	None	None	None	velikanov	None	None	None	None	None	None	None	None
orang akan menjawab	None	None	None	poreko	None	None	None	odpowiedzą	None	None	None	None
orang berpenyakit kulit yang	None	None	None	gobavci	pitaliset	None	None	None	None	None	None	None
orang bersaudara	None	None	None	bratov	None	None	None	None	None	None	None	None
orang kuat	None	None	None	močnega	None	None	None	mocarza	None	None	None	None
orang lumpuh itu	None	None	None	mrtvoudnemu	None	paralítico	None	ruszonemu	None	None	None	None
orang mati hidup	None	None	None	mrtvi	None	None	None	None	None	None	None	None
orang nazir	None	None	None	nazirec	nasiiri	None	None	None	None	None	None	None
orang sebanyak	None	None	None	jezdecev	None	None	None	None	None	None	None	None
orang tua mereka	None	None	None	očete	None	None	None	None	None	None	None	None
pada akhir	None	None	None	pozni	None	None	None	None	None	None	None	None
pada keempat	None	None	None	krog	None	None	None	None	None	灑在壇	None	None
pada tanggal tiga	None	None	None	trinajsti	None	None	None	None	None	None	None	None
padamlah	None	None	None	ugasne	None	None	None	None	None	None	None	None
padang rumput	None	None	None	pašnikov	None	None	None	None	βοσκην	None	None	None
pagar	None	None	None	ogradil	aidan	None	None	None	φραγμον	上 籬 笆	hedge	None
pahamu	None	None	None	bedra	None	coxa	None	None	μηρος	大腿 消瘦	thighs	muslo
pajak kepada	None	None	None	davek	veroa	None	None	None	None	None	None	None
pakaian seragam	None	None	None	obleko	None	None	None	None	None	None	None	None
palem	None	None	None	palmi	palmukoristeita	palmeira	None	palm	φοινικων	棕	the palm	palmera
pandai berbicara	None	None	None	zgovoren	None	None	None	None	None	None	None	None
pandai emas	None	None	None	zlatar	None	None	None	None	None	None	goldsmith	None
pangkal	None	None	None	oteče	None	None	None	łono	σαπη ο	底下	way directly before	None
para janda	None	None	None	vdova	leskeä	None	None	wdowy	None	None	None	None
para nabi	None	None	None	prorokih	profeetoille	None	None	None	None	None	None	None
para pahlawan	None	None	None	junaki	None	None	None	mocarze	None	None	None	None
para pekerja di Rumah	None	None	None	Netinimci	Temppelipalvelijoita	None	None	None	None	None	None	None
para pekerja di	None	None	None	Netinimci	None	None	None	None	None	None	None	None
para penyanyi	None	None	None	pevci	None	None	None	śpiewakom	None	None	None	None
patuh	None	None	None	trepetom	vavistuksella	tremor	None	None	None	None	trembling	temblor
patung Dewi	None	None	None	posekal	None	None	None	None	None	None	None	None
pekerja di Rumah	None	None	None	Netinimci	None	netinins	None	None	None	提寧	None	None
pelabuhan	None	None	None	pristanišče	satamaan	porto	None	portu	λιμενα	None	the ships	puerto
pelatarannya	None	None	None	dvorišče	None	None	None	None	None	None	courts	None
pembelaannya	None	None	None	zagovarja	None	sua defesa	None	None	απελογειτο	None	his defense	su defensa
pembesarnya	None	None	None	tvoji knezi	None	None	None	None	μεγιστανες	None	None	None
pembohong	None	None	None	lažnike	None	mentirosos	None	None	None	謊 話 的	report and	mentirosos
pembuatan perjanjian	None	None	None	služba	None	None	None	None	None	None	None	None
pemuka	None	None	None	knezi	ruhtinaat	anciãos	None	None	προκριτους	冑	princes	vuestros ancianos
penciptaan	None	None	None	so bila	None	None	None	None	None	None	the heavens and	None
pencuri akan	None	None	None	tat	None	None	None	None	None	賊	None	None
pendusta	None	None	None	lažnika	valhettelija	mentiroso	None	kłamcą	ψευστης	謊	speak lies	mentiroso
penenun	None	None	None	tkalec	None	None	None	None	υφαντου	None	weaver	None
pengaduan	None	None	None	tožbo	ilmoittivat	queixa	None	None	None	控	None	None
pengalaman	None	None	None	izkušnji	None	None	None	None	None	None	of use	None
pengemudi	None	None	None	vozniku	None	None	None	None	None	None	the driver	None
penggilingan	None	None	None	mlina	None	None	None	None	None	None	millstone	molino
pengikutmu	None	None	None	družba	None	None	None	None	None	None	None	None
peniup	None	None	None	poveljniki	None	None	None	None	None	吹	None	None
penolongku	None	None	None	podpora	None	None	None	None	None	None	support	mi apoyo
penyakit kulit	None	None	None	gobava	pitalinen	lepra	None	None	λεπρας	長大痲瘋	leper	leproso
penyakitmu	None	None	None	bolezni	None	None	None	None	None	None	infirmity	None
penyamak	None	None	None	strojarju	None	None	None	None	None	硝	None	None
penyangga	None	None	None	njeni	None	None	None	None	None	None	None	None
penyembahan Baal	None	None	None	Baala	None	None	None	None	None	None	None	None
perang Saul	None	None	None	orožje	None	None	None	None	None	None	None	armas
perbatasan timur	None	None	None	vzhodne	None	None	None	None	None	None	None	None
perbedaan	None	None	None	razloček	None	distinção	None	None	None	None	a division	distinción
perdamaian kepada	None	None	None	mirovne	None	None	None	None	None	None	None	None
peribahasa	None	None	None	pregovor	None	None	None	None	None	語	proverb	None
peringatan	None	None	None	spomenik	None	None	None	znak	None	警 戒	None	memorial
perintahkan kepadamu	None	None	None	zapovedujem	None	None	None	None	None	None	None	None
perintahkanlah	None	None	None	pošlji	None	None	None	None	None	None	None	None
perisai itu ada	None	None	None	ščit	None	None	None	None	None	None	None	None
perjanjian antara TUHAN	None	None	None	sklenil	None	None	None	None	None	None	None	None
perkelahian	None	None	None	prepir	None	None	None	None	εριδα	鬥 又	None	None
perkemahan orang	None	None	None	tabor	None	None	None	obozu	None	None	None	None
permai	None	None	None	dike	None	None	None	None	None	None	None	None
permulaannya	None	None	None	začetka	None	None	None	None	None	None	None	comienzo
pernahkah kalian	None	None	None	nikoli	None	None	None	None	None	None	None	None
pernahkah	None	None	None	nikoli	koskaan	lestes	None	None	Ποτε	None	None	None
peroleh	None	None	None	pridobili	None	None	None	None	None	None	None	None
persembahan sore	None	None	None	večeru	None	None	None	None	None	None	None	None
persembahan unjukan	None	None	None	majanja	None	None	None	None	None	搖	None	None
pertemuan untuk	None	None	None	zborovanje	kokous	None	None	None	None	聖會	None	None
perwira Daud yang	None	None	None	načelnikov	None	None	None	None	None	None	None	None
pesta perkawinan	None	None	None	ženina	None	None	None	None	None	None	None	None
piala anggur	None	None	None	kelih	None	cálice	None	kielich	None	杯	None	None
pihak	None	None	None	straže	taholta	None	None	None	None	None	None	None
pikul	None	None	None	nosijo	None	tiradores	None	None	None	None	None	None
pimpinan Tirhaka	None	None	None	Tirhaku	None	None	None	None	None	None	None	None
pinggir jurang	None	None	None	brega	None	None	None	przykra	κρημνου	None	None	None
pipiku	None	None	None	lice	None	None	None	None	None	None	my cheeks	mis mejillas
pohon anggur yang	None	None	None	trta	None	None	None	None	None	None	None	None
pohon besar	None	None	None	hrastom	None	None	None	None	None	None	None	None
pohon tamariska	None	None	None	tamarisko	None	None	None	None	None	None	None	None
pohon yang	None	None	None	drevo	None	árvore	None	drzewo	None	樹	None	None
poros	None	None	None	osi	None	None	None	None	None	None	None	None
prajuritmu	None	None	None	nog svojih	None	meus pés	None	None	ποδων	必 用 腳掌	None	None
provinsi Asia	None	None	None	Aziji	Aasian	Ásia	None	Azyi	None	亞西亞	None	None
provinsi Efrat	None	None	None	tostran	None	None	None	rzeką	None	None	None	None
pulang ke negerinya	None	None	None	štel	None	None	None	None	None	None	None	None
pulanglah mereka	None	None	None	vrnejo	None	None	None	None	επεστρεψαν	None	None	None
puluh alasnya	None	None	None	podstav	None	None	None	podstawków	None	None	None	None
puluh delapan	None	None	None	osemintridesetem	kahdeksantena	None	None	None	None	None	None	None
puluh empat	None	None	None	štiriindvajseteri	neljäntenä	None	None	None	εικοσιτεσσαρες	二十四	None	veinticuatro
puluh lima	None	None	None	petinosemdeset	viiden	cinqüenta	None	None	None	None	None	None
puluh tahun	None	None	None	let	None	anos	None	lat	ετων	None	None	None
puluh tujuh	None	None	None	sedemindvajsetem	seitsemäntenä	None	None	None	None	None	None	None
pun menyediakan	None	None	None	pripravita	None	prepararam	None	None	None	None	None	None
puntung	None	None	None	glavnja	None	None	None	None	δαυλος	None	tails	None
pupuk	None	None	None	gnoj	None	esterco	None	gnoju	κοπριαν	糞土	dung	abono
putih bersih	None	None	None	beli	None	None	None	None	None	None	None	None
putraku	None	None	None	sinu mojemu	poikani	None	None	None	None	我 兒 子	son Solomon	None
racun yang	None	None	None	strupa	None	None	None	None	None	None	poison	None
rakyat di bagian	None	None	None	odstopil	None	None	None	None	None	None	None	None
rantai besi	None	None	None	klado	None	None	None	None	None	None	None	None
ratu negeri Syeba itu menyerahkan kepada	None	None	None	dala	None	None	None	None	None	None	None	None
ratu negeri Syeba	None	None	None	sapa	None	None	None	None	None	None	None	None
rebut	None	None	None	polastili	valloitimme	tomamos	None	None	εκυριευσαμεν	None	None	tomamos
regu	None	None	None	krdela	None	None	None	None	None	隊	companies	escuadrones
rela menjadi	None	None	None	bodemo	None	None	None	None	None	None	None	None
rohani yang	None	None	None	duhovno	None	None	None	None	None	None	None	None
rombongan	None	None	None	krdelo	None	None	None	hufiec	σωμα εστραφη	None	company	escuadrón
roti itu dengan	None	None	None	hlebe	None	None	None	None	None	擘	None	None
roti sajian	None	None	None	kruhov	näkyleivät	None	None	None	None	None	shewbread	None
ruang besar	None	None	None	vežo	None	None	None	None	None	廊	None	None
rumah ibadat itu	None	None	None	shodnice	None	None	None	bóżnicy	None	會堂	None	None
rumah tempat	None	None	None	dom	None	None	None	None	None	None	None	None
rumahnya untuk	None	None	None	streho	None	None	None	None	None	None	None	None
salah mereka	None	None	None	njima	None	None	None	None	None	None	None	None
salah seorang	None	None	None	eden	None	None	None	None	None	None	None	None
salam kepada	None	None	None	pozdravi	None	saudado	None	Pozdrawiają	None	None	saluted	None
salam saya kepada	None	None	None	Pozdravite	Tervehdys	None	None	None	None	None	Salute	None
sama	None	None	None	seboj	None	None	None	None	None	None	same	mismo
sambungan	None	None	None	sprednji	None	None	None	None	None	相 接 之 處	by its	None
sampai ke	None	None	None	do	None	None	None	None	None	None	None	None
sampai sepuluh	None	None	None	desetkrat	None	None	None	None	None	None	None	None
samping	None	None	None	poleg	viereen	ao lado	None	stronę	πλαγιον	None	the side	None
sanak	None	None	None	rodbini	None	parentes	None	None	None	弟	None	None
sangat suci	None	None	None	presveto	None	None	None	None	None	None	None	None
satu roti	None	None	None	kolač	None	None	None	None	None	None	None	None
saya berdiri	None	None	None	stojim	None	None	None	None	None	None	None	None
saya beri	None	None	None	dala	None	None	None	None	None	None	None	None
saya harap	None	None	None	upam	None	espero	None	spodziewam	None	None	None	None
saya menulis surat	None	None	None	pišem	None	None	None	None	None	None	None	None
sebagai tawanan	None	None	None	ujete	None	cativo	None	None	αιχμαλωτον	擄去	None	cautividad
sebelah timur Sungai	None	None	None	tostran	None	None	None	None	None	None	None	None
seberang Sungai Yordan	None	None	None	Jordanu	None	None	None	None	None	None	None	None
sebidang kebun anggur	None	None	None	vinograd	None	None	None	None	None	None	None	None
sebidang tanah	None	None	None	njive	None	None	None	None	κτημα	None	None	None
sebuah bukit	None	None	None	goro	None	None	None	None	None	None	None	None
sebuah ladang gandum	None	None	None	setve	None	None	None	None	None	None	None	None
sebuah mahkota	None	None	None	diademov	kruunua	None	None	None	None	None	None	None
sebuah perumpamaan	None	None	None	priliko	None	None	None	None	None	None	None	None
sebuah piala anggur	None	None	None	kelih	None	None	None	None	None	None	None	None
sebuah pohon	None	None	None	hrastom	None	None	None	None	None	None	None	None
seekor anak	None	None	None	enoletno	None	None	None	None	None	None	None	None
segala jenis bangau	None	None	None	morski	None	None	None	None	None	None	None	None
segala macam	None	None	None	vsakovrstne	kaikkinaista	None	None	wszelkie	None	None	None	None
segala negeri	None	None	None	dežel	None	None	None	None	None	None	None	None
sehati	None	None	None	enodušno	None	unanimemente	None	None	None	一心一意	the same mind	unánimes
seisi	None	None	None	ognjem	None	None	None	None	None	火燒	None	None
sekali orang	None	None	None	množica	None	None	None	None	None	None	None	None
sekali saja	None	None	None	enkrat	None	None	None	None	None	None	once	None
sekam akan	None	None	None	pleve	None	None	None	None	None	糠	None	None
sekitar Gibea	None	None	None	Gibei	None	None	None	None	None	None	None	None
sekitarmu	None	None	None	okoli vas	ympärillänne	None	None	None	None	圍 的	around you	vuestro alrededor
sekop	None	None	None	lopate	lapiot	as pás	None	i miotły	τα πτυαρια	鏟	the shovels	palas
selama tujuh	None	None	None	Sedem	None	None	None	None	None	七	None	None
selama	None	None	None	dokler	kauan	enquanto	None	przez	None	None	while	durante
selatan negeri	None	None	None	jugu	None	None	None	None	μεσημβρινον	None	South	None
selimut	None	None	None	odejo	None	None	None	None	σκεπασμα	遮蓋	cloth	None
seluruh perkemahan	None	None	None	tabor	None	None	None	None	None	None	None	None
seluruhnya berjumlah	None	None	None	Ves	None	None	None	None	None	None	None	None
semakin	None	None	None	bolj	yhä	None	None	None	None	越 發	None	None
sembahlah	None	None	None	iščite	None	None	None	None	None	時 常 尋 求	Worship	None
sembahyang	None	None	None	molitve	None	None	None	None	None	None	None	None
sembarangan	None	None	None	nemarnem	None	None	None	None	None	不可妄稱	uncertain sound	None
sembilan belas	None	None	None	devetnajst	None	None	None	None	None	None	nineteen	None
sembilan puluh sembilan	None	None	None	devetindevetdeseterih	None	None	None	None	None	九十九	None	None
sembuhkanlah	None	None	None	ozdravi	Paranna	None	None	None	None	你 醫 治	heal	None
sementara	None	None	None	začasno	sillä aikaa	enquanto	None	None	None	暫	while	mientras
sempat	None	None	None	utegnili	None	None	None	None	None	None	leisure	None
seorang nabi	None	None	None	prorok	profeetan	None	None	None	None	None	None	None
seorang penyamak	None	None	None	strojarju	None	None	None	None	None	None	None	None
separuh daerah	None	None	None	polovico	None	None	None	None	None	None	None	None
sepasang	None	None	None	par	None	duas	None	parę	ζευγος	None	pair	par
seperlima	None	None	None	petino	None	None	None	None	None	None	None	None
seperti perumpamaan ini	None	None	None	podobno	None	None	None	None	None	None	None	None
seperti perumpamaan	None	None	None	podobno	verrattava	None	None	None	None	None	None	None
sepertiga liter	None	None	None	log	None	None	None	None	None	None	None	None
sepuluh kali	None	None	None	desetkrat	None	None	None	None	δεκακις	None	None	None
seranglah	None	None	None	udari	hyökkää	None	None	None	None	對 面 攻 打	smite	ataca
seratus kali	None	None	None	stoteren	satakertaisesti	None	None	None	εκατονταπλασιον	None	None	None
sesudah itu	None	None	None	zahvalnico	None	None	None	None	None	None	None	None
sesudah panen	None	None	None	žetvi	None	None	None	None	None	None	None	None
setelah Raja	None	None	None	kraljevanja	None	None	None	królowania	None	None	None	None
setengah liter	None	None	None	hina	None	None	None	None	None	None	None	None
siapakah wanita	None	None	None	čigava	None	None	None	None	None	None	None	None
sidang	None	None	None	zbor	None	None	None	None	None	坐堂	None	None
silsilah	None	None	None	rodovinah	None	None	None	None	γενεαλογια	None	generations	None
suara yang	None	None	None	glasom	None	None	None	głosem	None	None	None	None
suatu penglihatan	None	None	None	prikazni	None	visão	None	widzeniu	None	異象	None	mostró
sudah baik	None	None	None	pravičnih	None	None	None	None	None	None	None	None
sudah dipersembahkan	None	None	None	žrtev	None	None	None	None	None	None	None	None
suka berkelahi	None	None	None	pretepač	None	None	None	None	None	None	None	None
suku Benyamin	None	None	None	Benjaminec	benjaminilaisia	Benjamim	None	Benjamin	None	None	None	None
suku Zebulon	None	None	None	Zebulona	None	None	None	None	None	None	None	None
sukumu	None	None	None	rodov	None	None	None	None	φυλων	None	your tribes	None
sumber air	None	None	None	studencu	vesilähteet	fontes	None	źródła	None	水泉	None	None
sumbu pelita	None	None	None	utrinjala	None	None	None	None	None	蠟剪	None	None
